밥,국,메인메뉴
쌀밥/잡곡밥,김치두부국,훈제오리구이
쌀밥/잡곡밥,오징어국,버섯불고기
쌀밥/잡곡밥,시래기국,닭볶음탕
열무보리비빔밥,가쯔오장국,깐풍육
쌀밥/잡곡밥,근대국,삼겹보쌈
<초복특식>,삼계탕,찹쌀밥
쌀밥/잡곡밥,차돌박이찌개,돈육굴소스볶음
쌀밥/잡곡밥,북어계란국,닭갈비
산채비빔밥,미소장국,야채튀김
쌀밥/잡곡밥,돈육김치찌개,미니채소떡갈비
쌀밥/잡곡밥,소고기무국,갈치구이
쌀밥/잡곡밥,매운어묵국,소고기숙주볶음
쌀밥/잡곡밥,시금치된장국,등갈비김치찜
카레라이스,가쯔오국,갈비통통만두
쌀밥/잡곡밥,매운소고기국,유린기
쌀밥/잡곡밥,우묵냉국,고구마함박스테이크
쌀밥/잡곡밥,시금치국,유자청제육볶음
쌀밥/잡곡밥,사과오이냉국,장어강정
곤드레밥*양념장,맑은국,해물누룽지탕
쌀밥/잡곡밥,아욱국,닭볶음탕
쌀밥/잡곡밥,고추장찌개,미트볼케찹조림
쌀밥/잡곡밥,콩나물국,닭갈비
쌀밥/잡곡밥,도토리묵냉국,짬뽕불고기
짜장덮밥,맑은국,고추잡채*꽃빵
쌀밥/잡곡밥,아욱국,돼지갈비찜
쌀밥/잡곡밥,차돌된장찌개,주꾸미볶음
쌀밥/잡곡밥,된장찌개,소고기숙주볶음
쌀밥/잡곡밥,꽃게탕,언양식불고기
콩나물밥,올챙이만두국,유린기
쌀밥/잡곡밥,닭개장,쇠고기장조림
쌀밥/잡곡밥,시래기국,유자청제육볶음
쌀밥/잡곡밥,소고기미역국,닭강정
산채비빔밥,미소장국,오징어튀김
쌀밥/잡곡밥,닭곰탕,류산슬
쌀밥/잡곡밥,돈육김치찌개,미니채소떡갈비
쌀밥/잡곡밥,꽃게탕,함박스테이크
쌀밥/잡곡밥,고추장찌개,버섯불고기
카레덮밥,맑은국,치킨핑거
쌀밥/잡곡밥,배추된장국,훈제오리구이
쌀밥/잡곡밥,부대찌개,굴비구이
쌀밥/잡곡밥,들깨시락국,돈육김치볶음
쌀밥/잡곡밥,차돌박이찌개,소고기장조림
단호박영양밥,유부장국,새송이너비아니구이
쌀밥/잡곡밥,토란국,매운돼지갈비찜
쌀밥/잡곡밥,된장찌개,수제돈까스
쌀밥/잡곡밥,김치콩나물국,짬뽕불고기
쌀밥/잡곡밥,맑은순두부국,사천식탕수육
나물비빔밥,팽이장국,생선까스*칠리소스
쌀밥/잡곡밥,황태국,훈제오리고추장볶음
쌀밥/잡곡밥,꽃게된장찌개,돈육굴소스볶음
쌀밥/잡곡밥,소고기미역국,탄두리치킨
쌀밥/잡곡밥,쇠고기샤브국,주꾸미볶음
쌀밥/잡곡밥,열무된장국,대패삼겹*파채
쌀밥/잡곡밥,근대국,유자청제육볶음
쌀밥/잡곡밥,얼갈이된장국,버섯불고기
곤드레밥*양념장,맑은국,돈육강정
쌀밥/잡곡밥,콩나물김치국,해물누룽지탕
쌀밥/잡곡밥,어묵국,언양식불고기
쌀밥/잡곡밥,콩가루배추국,짬뽕불고기
쌀밥/잡곡밥,돈육김치찌개,닭갈비
쌀밥/잡곡밥,해물된장찌개,소불고기
쌀밥/잡곡밥,콩비지찌개,돈육굴소스볶음
쌀밥/잡곡밥,동태탕,마늘간장치킨
쌀밥/잡곡밥,옹심이만두국,굴비구이
쌀밥/잡곡밥,아욱국,매운돼지갈비찜
쌀밥/잡곡밥,북어해장국,제육볶음
쌀밥/잡곡밥,콩나물국,닭갈비
콩나물밥,가쯔오국,돈육강정
쌀밥/잡곡밥,알탕,해물굴소스볶음
쌀밥/잡곡밥,우거지된장국,쇠고기장조림
쌀밥/잡곡밥,고추장찌개,훈제오리단호박볶음
쌀밥/잡곡밥,얼큰순두부찌개,짬뽕불고기
카레라이스,우동국,유린기
쌀밥/잡곡밥,건새우아욱국,등갈비김치말이
나물비빔밥,팽이장국,생선까스*칠리소스
쌀밥/잡곡밥,소고기미역국,유자청제육볶음
쌀밥/잡곡밥,된장찌개,오징어볶음
마파두부덮밥,맑은국,치킨핑거
쌀밥/잡곡밥,매운콩나물국,동파삼겹수육
쌀밥/옛날돈까스,옥수수스프,딸기드레싱샐러드
쌀밥/잡곡밥,근대국,소고기낙지볶음
쌀밥/잡곡밥,고추장찌개,순살파닭
김치제육덮밥,가쯔오장국,시금치프리타타
쌀밥/잡곡밥,오징어국,미니채소떡갈비
야채볶음밥*짜장소스,미역장국,사천식탕수육
쌀밥/잡곡밥,돈육김치찌개,언양식불고기*양파채
쌀밥/잡곡밥,차돌된장찌개,주꾸미볶음
곤드레밥*양념장,맑은국,돈육강정
쌀밥/잡곡밥,콩나물국,해물누룽지탕
김치볶음밥,나가사끼짬뽕국,치킨텐더샐러드
쌀밥/잡곡밥,김치콩나물국,소고기장조림
쌀밥/잡곡밥,육개장,탕수어
콩나물밥*양념장,미소장국,닭강정
쌀밥/잡곡밥,된장찌개,류산슬
카레덮밥,맑은국,생선까스
쌀밥/잡곡밥,고추장찌개,버섯불고기
쌀밥/잡곡밥,김치두부국,누룽지탕수육
나물비빔밥,맑은국,감자치즈구이
쌀밥/잡곡밥,아욱국,닭볶음탕
오므라이스,미소장국,모듬튀김
쌀밥/잡곡밥,열무된장국,훈제오리구이
쌀밥/잡곡밥,홍합탕,마늘간장치킨
김치볶음밥/계란,팽이장국,해물까스*칠리소스
쌀밥/잡곡밥,쇠고기샤브국,닭갈비
쌀밥/잡곡밥,근대국,수제돈가스
쌀밥/잡곡밥,들깨시래기국,유자청돈육볶음
쌀밥/잡곡밥,매운소고기국,유린기
단호박영양밥,유부장국,새송이너비아니구이
쌀밥/잡곡밥,굴미역국,매운돼지갈비찜
쌀밥/잡곡밥,참치김치찌개,안동찜닭
쌀밥/잡곡밥,열무된장국,훈제오리볶음
쌀밥/잡곡밥,무채국,소고기숙주볶음
콩나물밥,미소장국,언양식불고기*양파채
쌀밥/잡곡밥,된장찌개,대패삼겹*파채
쌀밥/잡곡밥,감자양파국,매운닭찜
쌀밥/잡곡밥,아욱국,돈육김치볶음
쌀밥/잡곡밥,오징어국,치킨핑거
쌀밥/잡곡밥,된장찌개,짬뽕불고기
파인애플볶음밥,가쯔오장국,사천식탕수육
쌀밥/잡곡밥,고추장찌개,버섯불고기
쌀밥/잡곡밥,배추된장국,닭볶음탕
쌀밥/잡곡밥,떡국,제육볶음
비빔밥,미소장국,탕수어
쌀밥/잡곡밥,된장찌개,돈육김치볶음
쌀밥/잡곡밥,미역국,순살파닭
곤드레밥*양념장,맑은국,돈육강정
쌀밥/잡곡밥,육개장,가자미튀김
참치회덮밥,미소장국,또띠아피자
쌀밥/잡곡밥,근대국,훈제오리구이
쌀밥/잡곡밥,시래기국,함박스테이크*소스
단호박영양밥,연두부탕,오징어숙회무침
쌀밥/잡곡밥,해물된장찌개,묵은지닭찜
김치필라프,크림스프,토마토스파게티
쌀밥/잡곡밥,순두부찌개,닭갈비
쌀밥/잡곡밥,어묵국,등갈비김치찜
불고기비빔밥,미역장국,허니버터치킨
쌀밥/잡곡밥,아욱국,돼지갈비찜
쌀밥/잡곡밥,황태국,오리고추장볶음
콩나물밥*양념장,가쯔오장국,치킨핑거
쌀밥/잡곡밥,들깨시래기국,닭오븐구이
김치제육덮밥,계란국,오징어튀김
쌀밥/잡곡밥,미역국,쇠고기낙지볶음
쌀밥/잡곡밥,차돌박이찌개,돈육강정
단호박영양밥,유부장국,언양식불고기
쌀밥/잡곡밥,어묵탕,동파삼겹수육
쌀밥/오곡밥,두부김치국,굴비구이
쌀밥/잡곡밥,매운콩나물국,소고기숙주볶음
쌀밥/잡곡밥,냉이된장찌개,레몬탕수육
곤드레밥*강된장,팽이장국,닭데리야끼조림
쌀밥/잡곡밥,동태찌개,돈육간장볶음
김밥볶음밥,미니짬뽕,크림새우
쌀밥/잡곡밥,쇠고기샤브국,유자청제육볶음
쌀밥/잡곡밥,차돌된장찌개,주꾸미볶음
나물비빔밥,미소장국,사과고구마그라탕
쌀밥/잡곡밥,근대국,간장마늘치킨
쌀밥/잡곡밥,들깨미역국,짬뽕불고기
쌀밥/잡곡밥,된장찌개,돈육김치볶음
쌀밥/잡곡밥,부대찌개,훈제오리구이
낙지비빔밥,팽이장국,치킨텐더*콘소스D
쌀밥/잡곡밥,북어국,닭갈비
쌀밥/잡곡밥,아욱국,소고기장조림
쌀밥/잡곡밥,두부김치국,소고기버섯볶음
쌀밥/잡곡밥,쇠고기무국,오징어볶음*소면
콩나물밥*달래장,고추장찌개,갈치구이
쌀밥/잡곡밥,미역국,수원왕갈비통닭
곤드레밥,건새우아욱국,돈육간장볶음
쌀밥/잡곡밥,콩나물국,소불고기
쌀밥/잡곡밥,대파육개장*칼국수,가자미엿장조림
카레라이스,미소시루,감자만두*양념
쌀밥/잡곡밥,순두부찌개,해물돼지갈비찜
쌀밥/잡곡밥,설렁탕,동태포전
쌀밥/잡곡밥,어묵국,돈육굴소스볶음
쌀밥/잡곡밥,대구탕,차돌박이숙주볶음
마파두부덮밥,조갯살무국,레몬유린기
쌀밥/잡곡밥,콩비지찌개,짜장닭볶음
쌀밥/잡곡밥,갈비탕,칠리새우
쌀밥/잡곡밥,시래기국,오리양념불고기*쌈무
쌀밥/잡곡밥,소고기미역국,해물누룽지탕
쌀밥/잡곡밥,유부주머니국,목살스테이크
쌀밥/잡곡밥,배추된장국,제육볶음
봄나물비빔밥,맑은국,치킨너겟
쌀밥/잡곡밥,우렁된장찌개,주꾸미볶음
쌀밥/잡곡밥,고추장찌개,안동찜닭
쌀밥/잡곡밥,들깨시래기국,삼겹살수육&풋고추
쌀밥/잡곡밥,경상도식소고기국,등갈비김치찜
쌀밥/잡곡밥,순대국밥,고추튀김
쌀밥/잡곡밥,미역국,오리불고기
쌀밥/잡곡밥,꽃게된장국,후르츠탕수육
낙지비빔밥,계란국,닭강정
쌀밥/잡곡밥,두부김치국,소고기브로컬리볶음
고기듬뿍카레라이스,미니우동,고구마고로케
쌀밥/잡곡밥,아욱국,치즈닭갈비
쌀밥/잡곡밥,홍초콩나물국,LA갈비구이
쌀밥/잡곡밥,전복장각삼계탕,육전
쌀밥/잡곡밥,소고기당면국,바질페스토스파게티
쌀밥/잡곡밥,황태국,우엉불고기
쌀밥/잡곡밥,멸치국수,오향장육
쌀밥/잡곡밥,나주곰탕,춘천닭갈비
쌀밥/잡곡밥,새우완자탕,고구마치즈돈까스
쌀밥/잡곡밥,대구지리탕,카레닭볶음
쌀밥/잡곡밥,육개장,수원왕갈비
건강비빔밥*약고추장,제첩두부국,깻잎전
새우날치알볶음밥,쌀국수(숙주들어감),장어구이*소스
쌀밥/잡곡밥,버섯들깨국,삼겹살더덕고추장구이
쌀밥/잡곡밥,왕갈비탕,해물전
쌀밥/잡곡밥,냉메밀소바,히레카츠*소스
쌀밥/잡곡밥,아욱수제비국,해물섞어찜
쌀밥/잡곡밥,돈육김치찌개,냉족발야채무침
쌀밥/잡곡밥,열무물국수,소갈비찜
쌀밥/잡곡밥,닭개장,떡갈비
소고기콩나물밥*양념,들깨미역국,바싹불고기*양파초절임
쌀밥/잡곡밥,유부주머니된장국,생선까스*타르
쌀밥/잡곡밥,연두부탕,제육볶음
쌀밥/잡곡밥,들깨수제비,닭볶음탕
닭살카레라이스,미역미소시루,후르츠탕수육
쌀밥/잡곡밥,차돌된장찌개,주꾸미볶음
소불고기덮밥,맑은국,야채비빔만두
쌀밥/잡곡밥,매콤콩나물국,짬뽕불고기
쌀밥/잡곡밥,시래기국,고추잡채*꽃빵
곤드레밥*양념장,무채국,꽁치한마리구이
쌀밥/잡곡밥,콩비지찌개,오징어볶음
마파두부덮밥,유부장국,레몬유린기
쌀밥/잡곡밥,소고기미역국,닭갈비
쌀밥/잡곡밥,된장찌개,돈육고추장볶음
열무보리비빔밥/강된장,가쯔오장국,깐풍육
쌀밥/잡곡밥,육개장,소고기장조림
베이컨김치볶음밥,냉모밀국수,해물부추전
쌀밥/잡곡밥,대구탕,오삼불고기
쌀밥/잡곡밥,시금치된장국,닭볶음탕
나물비빔밥,오이사과냉국,치킨핑거
쌀밥/잡곡밥,매운소고기국,굴비구이
돈육버섯고추장덮밥,팽이무국,양파링카레튀김
쌀밥/잡곡밥,냉모밀국수,매운돈갈비찜
쌀밥/잡곡밥,대파육개장,홍어미나리초무침
카레라이스,동태알탕,부추고추전*간장
쌀밥/잡곡밥,매운소고기무국,춘천닭갈비
쌀밥/잡곡밥,물만두국,오리불고기
쌀밥/잡곡밥,한방설렁탕,오징어초무침
쌀밥/잡곡밥,시금치된장국,닭볶음탕
쌀밥/잡곡밥,맑은콩나물국,돈육고추장볶음
마파두부덮밥,미역미소시루,레몬유린기
쌀밥/잡곡밥,건새우무채국,쭈꾸미삼겹고추장볶음
비빔밥*약고추장,콩가루배춧국,열기어구이
쌀밥/잡곡밥,장각삼계탕,해물잡채
쌀밥/잡곡밥,김치우동,수제돈가스*소스
쌀밥/흑미밥/찰현미밥,호박맑은국,돈육김치볶음
쌀밥/치자밥/찰현미밥,닭개장,양장피
쌀밥/흑미밥/찰현미밥,아욱국,오리불고기
쌀밥/병아리콩밥/찰현미밥,소고기미역국,깻잎통닭*치킨소스
쌀밥/흑미밥/찰현미밥,해물수제비국,만가닥버섯불고기
쌀밥/흑미밥/찰현미밥,황태미역국,안동찜닭
쌀밥/기장밥/찰현미밥,호박된장찌개,목살스테이크
쌀밥/흑미밥/찰현미밥,우거지국,삼겹살수육
낙지비빔밥*계란후라이,팽이장국,후라이드*강정소스
쌀밥/흑미밥/찰현미밥,짜글이돼지찌개,새우까스*소스
쌀밥/흑미밥/찰현미밥,김치두부국,오리대패불고기
쌀밥/수수밥/찰현미밥,냉이된장국,돈갈비찜
쌀밥/흑미밥/찰현미밥,맑은콩나물국,장어강정
쌀밥/검정콩밥/찰현미밥,건새우아욱국,쭈삼불고기
쌀밥/흑미밥/찰현미밥,얼갈이된장국,닭다리바베큐오븐구이
쌀밥/흑미밥/찰현미밥,뼈없는감자탕,생선까스&소스
쌀밥/렌틸콩밥/찰현미밥,떡국,매운쇠고기버섯볶음
쌀밥/흑미밥/찰현미밥,북어채국,오징어볶음&소면사리
쌀밥/차조밥/찰현미밥,유부장국,바베큐폭립
쌀밥/흑미밥/찰현미밥,동태탕,살살치킨&칠리소스
쌀밥/보리밥/찰현미밥,부대찌개,치즈닭갈비
쌀밥/흑미밥/찰현미밥,맑은버섯육개장,매콤해물볶음
쌀밥/흑미밥/찰현미밥,순남시래기국,오리불고기
쌀밥/흑미밥/찰현미밥,어묵국,오향장육
쌀밥/흑미밥/찰현미밥,바지락미역국,콩나물두루치기
쌀밥/수수밥/찰현미밥,시금치된장국,카레닭찜
쌀밥/흑미밥/찰현미밥,나주곰탕,적어구이&양념장
쌀밥/검정콩밥/찰현미밥,다슬기아욱국,돈사태김치찜
쌀밥/흑미밥/찰현미밥,순두부찌개,소불고기
쌀밥/흑미밥/찰현미밥,황태콩나물해장국,시금치프리타타
쌀밥/기장밥/찰현미밥,우거지국,매콤돼지갈비찜
쌀밥/흑미밥/찰현미밥,냉족발야채무침,부추샐러드*오리엔탈
쌀밥/찰보리밥/찰현미밥,매운계란파국,마파두부
쌀밥/흑미밥/찰현미밥,옹심이만두국,대패삽겹숙주볶음
쌀밥/흑미밥/찰현미밥,아욱된장국,생선까스*소스
계란채소볶음밥,짬뽕국,짜장소스
쌀밥/흑미밥/찰현미밥,홍합살미역국,수육*새우젓*쌈장
쌀밥/수수밥/찰현미밥,돈육김치찌개,수완왕갈비맛통닭
쌀밥/흑미밥/찰현미밥,잔치국수,순대채소볶음
쌀밥/흑미밥/찰현미밥,배추국,오리고추장불고기
쌀밥/귀리밥/찰현미밥,순두부찌개,류산슬
쌀밥/흑미밥/찰현미밥,유부장국,목살찹스테이크
쌀밥/흑미밥/찰현미밥,감자수제비국,쇠고기낙지볶음
쌀밥/병아리콩/찰현미밥,버섯국,비엔나떡조림
쌀밥/흑미밥/찰현미밥,옹심이만둣국,춘천닭갈비
쌀밥/수수밥/찰현미밥,매운콩나물국,돈갈비찜
쌀밥/흑미밥/찰현미밥,갈비탕,오향장육
쌀밥/찰보리밥/찰현미밥,북엇국,콩나물파채불고기
쌀밥/흑미밥/찰현미밥,동태탕,닭다리살스테이크
쌀밥/흑미밥/찰현미밥,떡만두국,오리대패불고기
쌀밥/흑미밥/찰현미밥,건새우미역국,매운소불고기
단호박카레라이스,통계란꼬치어묵탕,두부강정
쌀밥/흑미밥/찰현미밥,꽃게탕,바베큐장각오븐구이
쌀밥/렌틸콩밥/찰현미밥,우거지된장국,닭살겨자냉채
쌀밥/흑미밥/찰현미밥,김칫국,훈제오리볶음
쌀밥/수수밥/찰현미밥,순남시래기국,장어고추장양념구이
쌀밥/흑미밥/찰현미밥,두부된장찌개,츄러스채소맛탕
쌀밥/흑미밥/찰현미밥,홍합살무국,돈갈비양념구이
쌀밥/흑미밥/찰현미밥,매운쇠고기국,갈릭순살치킨
쌀밥/흑미밥/찰현미밥,얼갈이된장국,쭈꾸미삼겹살볶음
쌀밥/찰보리밥/찰현미밥,유부김칫국,치킨까스&소스
쌀밥/흑미밥/찰현미밥,미역미소시루국,차돌비빔국수
쌀밥/,곤드레밥/찰현미밥,된장찌개
쌀밥/흑미밥/찰현미밥,북엇국,춘천닭갈비
쌀밥/흑미밥/찰현미밥,맑은콩나물국,묵은지닭볶음탕
쌀밥/기장밥/찰현미밥,쇠고기미역국,오삼불고기
쌀밥/흑미밥/찰현미밥,삼계탕,고기완자전
쌀밥/차조밥/찰현미밥,깐풍기,감자채볶음
쌀밥/흑미밥/찰현미밥,건새우아욱국,쇠고기숙주볶음
쌀밥/흑미밥/찰현미밥,돼지김치찌개,당면채소무침
쌀밥/수수밥/찰현미밥,동태매운탕,대패삼겹살볶음
전주비빔밥,바지락냉이국,찰떡떡갈비조림
쌀밥/완두콩밥/찰현미밥,홍합국,쇠고기낙지볶음
쌀밥/흑미밥/찰현미밥,근대된장국,수제탕수육
쌀밥/흑미밥/찰현미밥,아욱된장국,매운족발볶음
쌀밥/귀리밥/찰현미밥,미역국,동파육
쌀밥/흑미밥/찰현미밥,한방설렁탕,골뱅이채소무침
쌀밥/수수밥/찰현미밥,북엇국,해물돼지갈비찜
쌀밥/흑미밥/찰현미밥,시금치된장국,안동찜닭
쌀밥/흑미밥/찰현미밥,호박된장찌개,오리주물럭
쌀밥/찰보리밥/찰현미밥,미소장국,알리오올리오파스타
쌀밥/흑미밥/찰현미밥,순두부찌개,New)요거닭
쌀밥/검정콩밥/찰현미밥,얼갈이된장국,쇠고기당면볶음
쌀밥/흑미밥/찰현미밥,황태채국,제육고추장불고기
쌀밥/흑미밥/찰현미밥,어묵매운탕,등심돈까스
쌀밥/차조밥/찰현미밥,불낙찌개,코다리강정
쌀밥/흑미밥/찰현미밥,콩비지김치찌개,해물누룽지탕
쌀밥/강낭콩밥/찰현미밥,조갯살아욱국,돼지간장불고기
쌀밥/흑미밥/찰현미밥,팽이된장국,오징어볶음
쌀밥/흑미밥/찰현미밥,굴미역국,닭간장조림
쌀밥/찰보리밥/찰현미밥,김치두부국,LA갈비구이
쌀밥/잡곡밥,팽이장국,메밀전병
쌀밥/팥밥/찰현미밥,된장찌개,오향장육
쌀밥/흑미밥/찰현미밥,육개장,갈치감자조림
쌀밥/흑미밥/찰현미밥,유부주머니국,삼겹살김치볶음
쌀밥/기장밥/찰현미밥,우거지국,훈제오리마늘볶음
쌀밥/흑미밥/찰현미밥,호박고추장찌개,만가닥버섯불고기
쌀밥/수수밥/찰현미밥,북엇국,제육고추장불고기
쌀밥/흑미밥/찰현미밥,근대국,닭다리살스테이크
쌀밥/흑미밥/찰현미밥,쫄면채소무침,풋고추양파쌈장무침
쌀밥/차조밥/찰현미밥,굴떡국,콩나물파채불고기
쌀밥/흑미밥/찰현미밥,해물완자전,가자미무조림
쌀밥/흑미밥/찰현미밥,문어꽈리고추조림,세발나물무침
쌀밥/흑미밥/찰현미밥,동태알탕,수제돈까스&소스
쌀밥/흑미밥/찰현미밥,바지락살무국,오삼불고기
쌀밥/차조밥/찰현미밥,매운쇠고기샤브샤브,하와이언함박스테이크
쌀밥/흑미밥/찰현미밥,건새우아욱국,마파무조림
쌀밥/잡곡밥,호박된장국,오리대패불고기
쌀밥/흑미밥/찰현미밥,소고기떡국,봉추찜닭
쌀밥/보리밥/찰현미밥,유부된장국,돈육도라지고추장볶음
쌀밥/흑미밥/찰현미밥,오리들깨탕,꽁치한마리레몬구이
쌀밥/수수밥/찰현미밥,아욱된장국,목살스테이크
쌀밥/흑미밥/찰현미밥,콩나물맑은국,매운소고기낙지볶음
쌀밥/흑미밥/찰현미밥,미역국,오리대패불고기
쌀밥/검정콩밥/찰현미밥,된장찌개,콩나물볶음
쌀밥/흑미밥/찰현미밥,시금치된장국,돈육두루치기
쌀밥/차조밥/찰현미밥,콩나물김칫국,소갈비찜
쌀밥/흑미밥/찰현미밥,뼈없는감자탕,고등어구이*와사비장
쌀밥/흑미밥/찰현미밥,어묵국,춘천닭갈비
쌀밥/기장밥/찰현미밥,맑은콩나물국,삼겹살김치찜
쌀밥/흑미밥/찰현미밥,아욱국,수제함박스테이크
쌀밥/수수밥/찰현미밥,냉이된장국,동파육
전주비빔밥*약고추장,계란파국,요거닭
쌀밥/흑미밥/찰현미밥,전주식콩나물해장국,돈육간장불고기
쌀밥/귀리밥/찰현미밥,들깨미역국,교촌간장치킨
