조식_밥,조식_국,조식_반찬,점심_밥,점심_국,점심_반찬,저녁_밥,저녁_국,저녁_반찬
호두죽/쌀밥,된장찌개,쥐어채무침,쌀밥/잡곡밥,오징어찌개,쇠불고기,쌀밥/잡곡밥,육개장,자반고등어구이
팥죽/쌀밥,호박젓국찌개,시래기조림,쌀밥/잡곡밥,김치찌개,가자미튀김,콩나물밥*양념장,어묵국,유산슬
표고버섯죽/쌀밥,콩나물국,느타리호박볶음,카레덮밥,팽이장국,치킨핑거,쌀밥/잡곡밥,청국장찌개,황태양념구이
닭죽/쌀밥,근대국,멸치볶음,쌀밥/잡곡밥,쇠고기무국,주꾸미볶음,미니김밥*겨자장,우동,멕시칸샐러드
쇠고기죽/쌀밥,재첩국,방풍나물,쌀밥/잡곡밥,떡국,돈육씨앗강정,쌀밥/잡곡밥,차돌박이찌개,닭갈비
견과류죽/쌀밥,감자찌개,명엽채무침,쌀밥/잡곡밥,시래기국,훈제오리구이,참치회덮밥,맑은국,군만두
고구마죽/쌀밥,봄동된장국,숙주나물,쌀밥/잡곡밥,꽃게탕,돈육굴소스볶음,쌀밥/잡곡밥,김치콩나물국,미니함박
잣죽/쌀밥,민물새우찌개,콩조림,쌀밥/잡곡밥,시금치국,닭감자조림,쌀밥/잡곡밥,홍합미역국,등갈비김치찜
단호박죽/쌀밥,어묵국,김구이,쌀밥/잡곡밥,쇠고기무국,탕수어,쌀밥/잡곡밥,된장찌개,쇠불고기
흑임자죽/쌀밥,북어계란국,무생채,쌀밥/잡곡밥,냉이된장국,쇠고기장조림,볶음밥*자장소스,맑은국,새우또띠아
계란후라이,선지해장국,톳두부무침,낙지비빔밥,유부장국,고구마치즈구이,쌀밥/잡곡밥,순두부찌개,명태조림
밤죽/쌀밥,홍합탕,오이생채,쌀밥/잡곡밥,대구찌개,마늘간장치킨,쌀밥/잡곡밥,설렁탕,김치전
브로컬리죽/쌀밥,고추장찌개,시금치나물,쌀밥/오곡밥,쇠고기느타리국,갈치구이,쌀밥/잡곡밥,옹심이만두국,떡갈비조림
닭죽/쌀밥,재첩국,참나물땅콩가루무침,쌀밥/잡곡밥,콩나물국,돈육간장볶음,쌀밥/잡곡밥,콩비지찌개,해물까스&타르타르소스
김치죽/쌀밥,무채국,애호박나물,비빔밥,팽이장국,소세지피망볶음,쌀밥/잡곡밥,열무된장국,매운돼지갈비찜
쇠고기죽/쌀밥,봄동된장국,어묵볶음,쌀밥/잡곡밥,북어계란국,닭갈비,김밥,잔치국수,교자만두
밤죽/쌀밥,꽃게탕,시래기조림,쌀밥/잡곡밥,수제비국,오징어볶음,쌀밥/잡곡밥,닭개장,삼치구이
호두죽/쌀밥,콩나물김치국,곰피초장,쌀밥/잡곡밥,얼갈이된장국,제육볶음,쌀밥/잡곡밥,버섯들깨탕,꽁치한마리구이
참치야채죽/쌀밥,올갱이아욱국,오이무침,쌀밥/잡곡밥,쇠고기미역국,주꾸미볶음,쌀밥/잡곡밥,된장찌개,버섯불고기
팥죽/쌀밥,피바지락국,가지볶음,쌀밥/잡곡밥,근대된장국,탕수육,멸치주먹밥,우동,떡볶이
야채죽/쌀밥,시금치국,볼어묵볶음,쌀밥/잡곡밥,부대찌개,가자미튀김,쌀밥/잡곡밥,오징어국,미트볼조림
땅콩죽/쌀밥,무채국,쑥갓무침,쌀밥/잡곡밥,콩나물국,닭갈비,쌀밥/잡곡밥,대구찌개,돈육굴소스볶음
새송이죽/쌀밥,호박젓국찌개,유채나물,쌀밥/잡곡밥,차돌박이찌개,고등어김치말이,카레덮밥,가쯔오장국,수제고로케*케찹
단호박죽/쌀밥,어묵국,김자반,쌀밥/잡곡밥,북어국,돈육장조림,쌀밥/잡곡밥,육개장,생선까스*탈탈소스
녹두죽/쌀밥,냉이된장국,명엽채무침,쌀밥/잡곡밥,고추장찌개,닭데리야끼조림,볶음밥,짬뽕,개성감자만두
고구마죽/쌀밥,재첩국,검정콩조림,쌀밥/잡곡밥,배추된장국,수제돈가스,쌀밥/잡곡밥,연두부탕,코다리무조림
흑임자죽/쌀밥,황태국,미역줄기볶음,쌀밥/잡곡밥,어묵국,돈육고추장볶음,쌀밥/잡곡밥,달래된장찌개,간장찜닭
해물죽/쌀밥,쇠고기무국,브로컬리들깨찜,쌀밥/잡곡밥,쑥국,소불고기,짜장잡채덮밥,계란파국,참치야채전
홍게살죽/쌀밥,시래기국,느타리호박볶음,곤드레밥,콩나물김치국,미니채소떡갈비,쌀밥/잡곡밥,뼈해장국,해물청경채볶음
브로컬리죽/쌀밥,오징어국,숙주나물,쌀밥/잡곡밥,사골우거지국,탕수어,토마토스파게티,양송이스프,미니햄버거
표고버섯죽/쌀밥,들깨미역국,방풍나물,쌀밥/잡곡밥,시금치국,훈제오리구이,쌀밥/잡곡밥,닭곰탕,임연수찜
김치죽/쌀밥,무채국,김실파무침,쌀밥/잡곡밥,꽃게탕,버섯불고기,쌀밥/잡곡밥,수제비국,아귀콩나물찜
참치야채죽/쌀밥,선지해장국,브로컬리초장,쌀밥/잡곡밥,쇠고기샤브국,코다리강정,굴소스파인볶음밥,가쯔오장국,찹쌀순대볶음
새송이버섯죽/쌀밥,근대국,쑥갓두부무침,콩나물밥*달래장,맑은국,치킨텐더*요거트D,쌀밥/잡곡밥,알탕,동그랑땡전
밤죽/쌀밥,순두부국,크랜베리멸치볶음,쌀밥/잡곡밥,북어계란국,쇠고기장조림,참치회덮밥,미소장국,군만두
견과류죽/쌀밥,콩나물국,진미채무침,쌀밥/잡곡밥,닭개장,자반고등어구이,쌀밥/잡곡밥,냉이된장찌개,누룽지탕수육
새우살죽/쌀밥,두부김치국,미역레몬초무침,쌀밥/잡곡밥,얼갈이된장국,닭갈비,쌀밥/잡곡밥,콩비지찌개,유산슬
야채죽/쌀밥,쇠고기버섯국,오이무침,쌀밥/잡곡밥,옹심이만두국,주꾸미볶음,햄볶음밥,유부장국,돈육씨앗강정
닭죽/쌀밥,감자국,참나물무침,봄새싹비빔밥,쪽파국,오징어튀김,쌀밥/잡곡밥,어묵국,등갈비김치찜
늙은호박죽/쌀밥,바지락쑥국,마늘쫑무침,쌀밥/잡곡밥,매운콩나물국,돈육굴소스볶음,주먹밥,잔치국수,또띠아피자
녹두죽/쌀밥,민물새우찌개,구이김,쌀밥/잡곡밥,버섯들깨탕,갈치조림,쌀밥/잡곡밥,쇠고기미역국,순살깐풍기
잣죽/쌀밥,근대국,마늘쫑무침,쌀밥/잡곡밥,순두부찌개,쇠불고기,쌀밥/잡곡밥,된장찌개,고등어조림
양송이죽/쌀밥,두부젓국찌개,미역줄기볶음,쌀밥/잡곡밥,북어국,오징어볶음*소면,김치볶음밥,가쯔오장국,감자치즈구이
팥죽/쌀밥,꽃게탕,방풍나물,쌀밥/잡곡밥,올갱이아욱국,제육볶음,쌀밥/잡곡밥,매운버섯국,찜닭
흑임자죽/쌀밥,열무된장국,진미채무침,쌀밥/잡곡밥,어묵국,매운돼지갈비찜,김밥,우동,야채튀김
고구마죽/쌀밥,대구찌개,콩조림,쌀밥/잡곡밥,배추된장국,순살양념치킨,쌀밥/잡곡밥,오징어국,미니함박
견과류죽/쌀밥,고추장찌개,김자반,쌀밥/잡곡밥,시래기국,훈제오리구이,쌀밥/잡곡밥,쇠고기무국,가자미찜
쇠고기죽/쌀밥,얼갈이된장국,감자채볶음,쌀밥/잡곡밥,부대찌개,쇠고기단호박조림,치킨마요덮밥,유부주머니국,떡볶이
브로컬리죽/쌀밥,황태국,콩나물무침,쌀밥/잡곡밥,수제비국,돈육굴소스볶음,비빔밥,팽이버섯장국,새우또띠아
새우살죽/쌀밥,재첩국,시금치나물,쌀밥/잡곡밥,냉이된장찌개,닭데리야끼조림,쌀밥/잡곡밥,들깨미역국,수제돈가스
흑임자죽/쌀밥,감자국,오이무침,쌀밥/잡곡밥,배추된장국,돈육강정,쌀밥/잡곡밥,꽃게탕,유산슬
표고버섯죽/쌀밥,콩나물국,곤약어묵볶음,쌀밥/잡곡밥,육개장,꽁치한마리구이,낙지비빔밥,유부장국,새싹피자
홍게살죽/쌀밥,김치국,느타리볶음,콩나물밥,근대된장국,매콤떡갈비조림,쌀밥/잡곡밥,어묵국,닭볶음탕
늙은호박죽/쌀밥,선지해장국,비름나물,쌀밥/잡곡밥,대구매운탕,쇠고기볶음,오므라이스,팽이버섯국,해물까스*탈탈소스
고구마죽/쌀밥,아욱국,숙주나물,쌀밥/잡곡밥,북어국,등갈비김치찜,쌀밥/잡곡밥,순두부찌개,탕수어
땅콩죽/쌀밥,차돌박이찌개,김구이,쌀밥/잡곡밥,콩나물국,돈간장불고기,쌀밥/잡곡밥,알탕,순살깐풍기
녹두죽/쌀밥,연두부탕,열무나물,쌀밥/잡곡밥,쇠고기무국,주꾸미볶음,짜장덮밥,맑은국,쇠고기퀘사디아
닭죽/쌀밥,매운어묵국,감자채볶음,나물비빔밥,미소장국,궁중떡찜,쌀밥/잡곡밥,청국장찌개,코다리무조림
표고버섯죽/쌀밥,우거지해장국,마늘쫑볶음,쌀밥/잡곡밥,미역국,양념파닭,참치주먹밥,비빔메밀국수,가쯔오장국
김치죽/쌀밥,우렁살된장국,진미채무침,쌀밥/잡곡밥,돈육김치찌개,미트볼조림,쌀밥/잡곡밥,들깨버섯탕,고추잡채*꽃빵
야채죽/쌀밥,호박젓국찌개,김자반,쌀밥/잡곡밥,시금치국,닭갈비,쌀밥/잡곡밥,북어국,고추장불고기
팥죽/쌀밥,재첩국,오이도라지무침,곤드레밥,무채국,모둠장조림,쌀밥/잡곡밥,부대찌개*라면사리,탕수육
밤죽/쌀밥,콩나물김치국,브로컬리들깨찜,쌀밥/잡곡밥,쇠고기샤브국,오징어볶음,카레덮밥,미소장국,수제미니햄버거
호두죽/쌀밥,들깨미역국,진미채무침,쌀밥/잡곡밥,매운어묵국,훈제오리구이,쌀밥/잡곡밥,닭개장,가자미튀김
브로컬리죽/쌀밥,근대국,감자채볶음,쌀밥/잡곡밥,콩나물국,버섯불고기,김치볶음밥/계란,가쯔오국,찹쌀순대볶음
홍게살죽/쌀밥,느타리버섯국,호박나물,단호박영양밥,시래기된장국,돈육칠리강정,쌀밥/잡곡밥,콩비지찌개,해물누룽지탕
야채죽/쌀밥,북어계란국,취나물,쌀밥/잡곡밥,오징어국,찜닭,돈까스김밥,잔치국수,멕시칸샐러드
흑임자죽/쌀밥,아욱국,노각무침,쌀밥/잡곡밥,된장찌개,매운돼지갈비찜,쌀밥/잡곡밥,쇠고기무국,코다리강정
잣죽/쌀밥,연두부탕,김자반,쌀밥/잡곡밥,감자고추장찌개,돈육굴소스볶음,쌀밥/잡곡밥,닭곰탕,주꾸미볶음
새우살죽/쌀밥,콩나물국,느타리볶음,쌀밥/잡곡밥,들깨버섯탕,고등어김치말이,유부초밥,우동,떡볶이
쇠고기죽/쌀밥,민물새우찌개,어묵볶음,산채비빔밥,미소장국,치킨핑거,쌀밥/잡곡밥,뼈해장국,황태양념구이
양송이죽/쌀밥,대구찌개,명엽채무침,쌀밥/잡곡밥,열무된장국,미니채소떡갈비,새우살볶음밥,팽이장국,사천식탕수육
단호박죽/쌀밥,근대국,머위대나물,쌀밥/잡곡밥,순두부찌개,닭오븐구이,쌀밥/잡곡밥,육개장,꽁치허브구이
땅콩죽/쌀밥,얼갈이된장국,미역레몬초무침,쌀밥/잡곡밥,북어콩나물국,쇠고기불고기,쌀밥/잡곡밥,수제비국,데리야끼파닭
녹두죽/쌀밥,콩나물국,김구이,쌀밥/잡곡밥,한방갈비탕,꼬지삼색전,참치회덮밥,맑은국,고구마치즈구이
김치죽/쌀밥,올갱이아욱국,검정콩조림,낙지볶음밥,미역장국,탕수어,쌀밥/잡곡밥,된장찌개,등갈비김치찜
소라살죽/쌀밥,어묵국,마늘쫑무침,쌀밥/잡곡밥,쇠고기해장국,갈치구이,짜장잡채밥,계란파국,춘권*칠리소스
밤죽/쌀밥,피바지락국,브로컬리초장,쌀밥/잡곡밥,배추된장국,닭양념조림,쌀밥/잡곡밥,꽃게탕,돈육청경채볶음
흑임자죽/쌀밥,미역국,멸치캐슈넛볶음,쌀밥/잡곡밥,콩나물김치국,누룽지탕수육,쌀밥/잡곡밥,해물순두부찌개,미니함박조림
새우살죽/쌀밥,쇠고기무국,가지나물,쌀밥/잡곡밥,근대된장국,닭갈비,참치주먹밥,쌀국수,수제고로케*케찹
팥죽/쌀밥,홍초콩나물국,김자반,열무비빔밥,강된장찌개,오징어튀김,쌀밥/잡곡밥,어묵국,고추장불고기
야채죽/쌀밥,황태국,애호박나물,쌀밥/잡곡밥,오이미역냉국,모둠장조림,날치알볶음밥,유부장국,고추잡채*꽃빵
홍게살죽/쌀밥,무채국,사각어묵무침,쌀밥/잡곡밥,차돌박이찌개,찜닭,쌀밥/잡곡밥,시래기국,수제돈까스
견과류죽/쌀밥,두부김치국,명엽채무침,쌀밥/잡곡밥,북어계란국,돈육굴소스볶음,콩나물밥*양념장,가쯔오장국,미트볼케찹조림
고구마죽/쌀밥,아욱국,오이생채,쌀밥/잡곡밥,참치김치찌개,순살깐풍기,쌀밥/잡곡밥,육개장,자반고등어구이
늙은호박죽/쌀밥,느타리버섯국,숙주나물,쌀밥/잡곡밥,매운콩나물국,돼지갈비찜,충무김밥,열무물국수,오징어무침
참치야채죽/쌀밥,꽃게탕,취나물,쌀밥/잡곡밥,된장찌개,오징어볶음,쌀밥/잡곡밥,어묵국,버섯불고기
잣죽/쌀밥,쇠고기무국,멸치고추장무침,쌀밥/잡곡밥,북어콩나물국,제육볶음,쌀밥/잡곡밥,들깨버섯탕,삼치데리야끼구이
녹두죽/쌀밥,동태찌개,새송이버섯볶음,쌀밥/잡곡밥,배추된장국,닭양념조림,오므라이스,미소장국,훈제오리냉채
쇠고기죽/쌀밥,시금치국,감자채볶음,카레덮밥,맑은국,떡갈비조림,쌀밥/잡곡밥,닭개장,해물청경채볶음
표고버섯죽/쌀밥,콩나물국,고구마순나물,쌀밥/잡곡밥,부대찌개,가자미양념찜,유부초밥,냉모밀국수,치킨핑거*요거트D
닭죽/쌀밥,우거지해장국,느타리호박볶음,쌀밥/잡곡밥,꽃게탕,돈육강정,쌀밥/잡곡밥,소고기미역국,유산슬
야채죽/쌀밥,근대된장국,진미채무침,쌀밥/잡곡밥,어묵국,레몬탕수육,쌀밥/잡곡밥,호박잎찌개,쇠불고기
흑임자죽/쌀밥,김치콩나물국,김자반,쌀밥/잡곡밥,대구찌개,간장치킨,김밥/맑은국,비빔국수,콘샐러드
팥죽/쌀밥,오징어국,노각무침,쌀밥/잡곡밥,시래기국,돈삼겹보쌈,쌀밥/잡곡밥,닭곰탕,찹쌀순대볶음
홍게살죽/쌀밥,북어계란국,검정콩조림,쌀밥/잡곡밥,쇠고기무국,매콤낙지볶음,작은밥/맑은국,토마토스파게티,양송이스프
밤죽/쌀밥,된장찌개,비름나물,쌀밥/잡곡밥,도토리묵냉국,목살데리야끼구이,쌀밥/잡곡밥,순두부찌개,해물누룽지탕
땅콩죽/쌀밥,북어콩나물국,쥐어채무침,쌀밥/잡곡밥,배추된장국,훈제오리구이,쌀밥/잡곡밥,김치찌개,모둠장조림
녹두죽/쌀밥,새우살미역국,느타리볶음,쌀밥/잡곡밥,육개장,고등어구이,볶음밥/짜장소스,계란국,탕수만두
잣죽/쌀밥,동태찌개,애호박나물,쌀밥/잡곡밥,콩나물국,간장돼지갈비찜,쌀밥/잡곡밥,청국장찌개,아귀콩나물찜
단호박죽/쌀밥,소고기무국,가지나물,쌀밥/잡곡밥,버섯들깨찌개,닭오븐구이,주먹밥,김치말이국수,감자버터구이
브로컬리죽/쌀밥,시금치국,볼어묵조림,쌀밥/잡곡밥,수제비국,유자청제육볶음,쌀밥/잡곡밥,차돌박이된장찌개,깐풍기
호두죽/쌀밥,무채국,두부조림,쌀밥/잡곡밥,감자고추장찌개,버섯불고기,쌀밥/잡곡밥,열무된장국,닭볶음탕
표고버섯죽/쌀밥,꽃게탕,시금치나물,쌀밥/잡곡밥,쇠고기미역국,꽁치김치말이찜,굴소스파인볶음밥,맑은국,탕수어
닭죽/쌀밥,느타리버섯국,명엽채무침,곤드레밥,가쯔오장국,닭강정,쌀밥/잡곡밥,시금치국,오징어볶음
쇠고기죽/쌀밥,김치콩나물국,멸치호두볶음,쌀밥/잡곡밥,된장찌개,갈치조림,쌀밥/잡곡밥,함박스테이크,단호박스프
김치죽/쌀밥,근대국,머위대나물,쌀밥/잡곡밥,우무묵냉국,갈릭돈까스,쌀밥/잡곡밥,알탕,고추잡채*꽃빵
흑임자죽/쌀밥,감자국,마늘쫑볶음,쌀밥/잡곡밥,호박잎찌개,돈육굴소스볶음,쌀밥/잡곡밥,부대찌개,가자미튀김
홍게살죽/쌀밥,쇠고기무국,숙주미나리나물,쌀밥/잡곡밥,건새우아욱국,순살파닭,볶음밥,쌀국수,수제핫도그
참치야채죽/쌀밥,대구찌개,고구마순나물,나물비빔밥,오이냉국,사천식탕수육,쌀밥/잡곡밥,쇠고기샤브국,황태양념구이
새송이죽/쌀밥,새알미역국,진미채무침,쌀밥/잡곡밥,배추된장국,매운주꾸미볶음,멸치주먹밥,물냉면,과일샐러드
팥죽/쌀밥,두부김치국,김자반,쌀밥/잡곡밥,북어계란국,등갈비김치찜,쌀밥/잡곡밥,오징어국,쇠고기장조림
땅콩죽/쌀밥,시금치국,명엽채무침,쌀밥/잡곡밥,순두부찌개,돈육떡강정,쌀밥/잡곡밥,느타리버섯국,고등어카레구이
녹두죽/쌀밥,어묵국,콩자반,쌀밥/잡곡밥,시래기국,목살데리야끼,콩나물밥,맑은국,너비아니*부추생채
양송이죽/쌀밥,무채국,오이무침,쌀밥/잡곡밥,사골우거지탕,미트볼조림,쌀밥/잡곡밥,동태찌개,치킨핑거
해물죽/쌀밥,근대된장국,버섯볶음,쌀밥/잡곡밥,우묵콩국,고추장불고기,볶음밥*자장소스,계란파국,유산슬
닭죽/쌀밥,북어계란국,멸치볶음,참치회덮밥,미소장국,고구마치즈구이,쌀밥/잡곡밥,돈육김치찌개,깐풍기
누룽지탕/쌀밥,민물새우찌개,김실파무침,쌀밥/잡곡밥,쇠고기미역국,불닭볶음,쌀밥/잡곡밥,콩가루배추국,돈까스
김치죽/쌀밥,바지락콩나물국,시래기나물,쌀밥/잡곡밥,청국장찌개,미니채소떡갈비,충무김밥,잔치국수,오징어무침
누룽지탕/쌀밥,고추장찌개,브로컬리들깨찜,쌀밥/잡곡밥,시금치국,동파삼겹수육,쌀밥/잡곡밥,어묵국,닭볶음탕
새우살죽/쌀밥,감자국,숙주나물,쌀밥/잡곡밥,꽃게탕,훈제오리냉채,카레라이스,맑은국,순대야채볶음
쇠고기죽/쌀밥,북어국,애호박나물,연복풍덮밥,도토리묵냉국,꽁치오븐구이,쌀밥/잡곡밥,아욱국,등뼈묵은지찜
보리누룽지탕/쌀밥,근대국,사각어묵볶음,쌀밥/잡곡밥,부대찌개*라면사리,갈치구이,쌀밥/잡곡밥,콩나물국,소불고기
단호박죽/쌀밥,오징어국,새송이볶음,열무보리비빔밥,팽이장국,꽃맛살볶음,쌀밥/잡곡밥,짬뽕수제비국,모둠장조림
누룽지탕/쌀밥,차돌박이찌개,김자반,쌀밥/잡곡밥,버섯들깨탕,레몬탕수육,주먹밥,냉모밀국수,소고기퀘사디아
야채죽/쌀밥,느타리버섯국,크랜베리멸치볶음,쌀밥/잡곡밥,복숭아미역냉국,닭데리야끼조림,오므라이스,가쯔오장국,떡볶이
홍게살죽/쌀밥,동태찌개,아삭고추무침,쌀밥/잡곡밥,된장찌개,매콤돼지갈비찜,쌀밥/잡곡밥,쇠고기무국,쭈꾸미볶음
누룽지탕/쌀밥,김치두부국,명엽채무침,쌀밥/잡곡밥,호박잎된장국,유자청제육볶음,쌀밥/잡곡밥,북어국,찜닭
야채죽/쌀밥,올갱이아욱국,호박볶음,쌀밥/잡곡밥,콩나물국,미니함박조림,작은밥,콩국수,멕시칸샐러드
누룽지탕/쌀밥,새우살미역국,고구마순나물,쌀밥/잡곡밥,사과오이냉국,장어강정,쌀밥/잡곡밥,닭개장,해물청경채볶음
녹두죽/쌀밥,쇠고기샤브국,참나물땅콩무침,쌀밥/잡곡밥,시래기국,삼겹살오븐구이,볶음밥,스파게티/크림스프,치킨텐더
해물죽/쌀밥,감자국,가지볶음,불고기덮밥,맑은국,새우까스&탈탈소스,쌀밥/잡곡밥,김치찌개,삼치된장구이
잣죽/쌀밥,북어국,진미채무침,쌀밥/잡곡밥,닭곰탕,고등어조림,김밥볶음밥,미소장국,과일샐러드
누룽지탕/쌀밥,어묵국,콩나물무침,쌀밥/잡곡밥,대구매운탕,오징어볶음,쌀밥/잡곡밥,콩비지찌개,돈육굴소스볶음
흑임자죽/쌀밥,우거지해장국,미역줄기볶음,쌀밥/잡곡밥,열무된장국,갈릭돈가스,유부초밥,김치우동,왕새우튀김
쇠고기죽/쌀밥,오징어국,도라지나물,단호박영양밥,도토리묵냉국,소고기숙주볶음,쌀밥/잡곡밥,된장찌개,훈제오리/무쌈/양파절임
잣죽/쌀밥,우거지해장국,새송이버섯볶음,쌀밥/잡곡밥,꽃게탕,고추잡채*꽃빵,쌀밥/잡곡밥,무채국,돈육볶음
호박죽/쌀밥,조랭이떡미역국,꽈리고추찜,쌀밥/잡곡밥,배추된장국,칠리탕수육,김치볶음밥,유부장국,허니버터옥수수
누룽지탕/쌀밥,북어국,애호박볶음,쌀밥/잡곡밥,해물된장찌개,닭볶음,쌀밥/잡곡밥,감자국,등갈비김치찜
고구마죽/쌀밥,시금치국,김잔파무침,쌀밥/잡곡밥,육개장,동태무조림,콩국수,작은밥,춘권
누룽지탕/쌀밥,민물새우찌깨,도라지나물,쌀밥/잡곡밥,떡국,마늘치킨,쌀밥/잡곡밥,콩나물냉국,주꾸미볶음
누룽지탕/쌀밥,느타리버섯국,김자반,쌀밥/잡곡밥,순두부찌개,소불고기,쌀밥/잡곡밥,차돌박이찌개,닭갈비
야채죽/쌀밥,근대국,명엽채무침,쌀밥/잡곡밥,버섯매운탕,갈치구이,굴소스해물볶음밥,맑은국,수제고로케*케찹
크림누룽지탕/쌀밥,대구찌개,곤약어묵볶음,낙지비빔밥,가쯔오장국,계란말이,쌀밥/잡곡밥,청국장찌개,깐풍육
김치죽/쌀밥,콩나물국,고구마순나물,쌀밥/잡곡밥,오징어국,목살데리야끼,참치주먹밥,로제파스타/스프,고구마치즈구이
팥죽/쌀밥,맑은만두육개장,가지나물,쌀밥/잡곡밥,시래기된장국,닭찜,쌀밥/잡곡밥,알탕,돈육장조림
누룽지탕/쌀밥,호박젓국찌개,감자조림,쌀밥/잡곡밥,쇠고기샤브국,오징어볶음,쌀밥/잡곡밥,어묵국,제육볶음
해물죽/쌀밥,콩나물된장국,구이김,쌀밥/잡곡밥,부대찌개,가자미카레튀김,볶음밥/짜장소스,유부장국,멕시칸샐러드
누룽지탕/쌀밥,쇠고기무국,진미채무침,곤드레밥,두부맑은국,돈육떡강정,쌀밥/잡곡밥,얼갈이된장국,닭오븐구이
늙은호박죽/쌀밥,김치두부국,취나물,쌀밥/잡곡밥,된장찌개,오리고추장볶음,김밥,잔치국수,새우까스*타르타르
땅콩죽/쌀밥,아욱된장국,미역줄기볶음,쌀밥/잡곡밥,황태맑은국,유린기,쌀밥/잡곡밥,쇠고기미역국,자반고등어구이
누룽지탕/쌀밥,꽃게탕,김자반,쌀밥/잡곡밥,시래기국,닭볶음,볶음밥,쌀국수,미니햄버거
