조식_밥,조식_국,조식_반찬,점심_밥,점심_국,점심_반찬,저녁_밥,저녁_국,저녁_반찬
누룽지탕/쌀밥,김치국,치커리유자청무침,카레라이스,미소장국,떡갈비조림,쌀밥/잡곡밥,새알미역국,닭갈비
녹두죽/쌀밥,어묵국,꽈리고추찜,쌀밥/잡곡밥,우거지해장국,명태코다리조림,멸치주먹밥,나가사끼짬뽕,소고기퀘사디아
땅콩죽/쌀밥,꽃게탕,두부쑥갓무침,쌀밥/잡곡밥,들깨시래기국,표고버섯탕수육,쌀밥/잡곡밥,올갱이아욱국,등갈비김치찜
누룽지탕/쌀밥,호박젓국찌개,쥐포무침,쌀밥/잡곡밥,오징어국,버섯불고기,쌀밥/잡곡밥,돈육김치찌개,가자미카레튀김
야채죽/쌀밥,대구매운탕,감자채볶음,쌀밥/잡곡밥,달래된장국,주꾸미볶음,볶음밥*짜장소스,맑은국,닭오븐구이
누룽지탕/쌀밥,쇠고기무국,멸치볶음,쌀밥/잡곡밥,민물새우찌개,동파육,쌀밥/잡곡밥,근대국,고추잡채*꽃빵
양송이죽/쌀밥,고추장찌개,김자반,쌀밥/잡곡밥,순두부찌개,훈제오리구이,작은밥,바지락수제비,찹쌀순대볶음
김치죽/쌀밥,시금치된장국,브로컬리무침,쌀밥/잡곡밥,콩나물국,간장마늘치킨,쌀밥/잡곡밥,황태무채국,유자청제육볶음
잣죽/쌀밥,김치두부국,진미채무침,쌀밥/잡곡밥,꽃게탕,언양식불고기,쌀밥/잡곡밥,청국장찌개,돈육계란장조림
누룽지탕/쌀밥,북어콩나물국,새송이볶음,쌀밥/잡곡밥,쇠고기미역국,오징어볶음,*,,
견과류죽/쌀밥,피바지락국,치커리사과무침,쌀밥/잡곡밥,아욱된장국,돼지갈비찜,쌀밥/잡곡밥,옛날왕돈까스,크림스프
해물죽/쌀밥,냉이된장국,마늘쫑건새우볶음,쌀밥/잡곡밥,어묵국,닭볶음탕,쌀밥/잡곡밥,육개장,자반고등어구이
흑임자죽/쌀밥,시래기국,명엽채무침,쌀밥/잡곡밥,사골떡국,한방소갈비찜,쌀밥/잡곡밥,대구매운탕,유산슬
누룽지탕/쌀밥,어묵국,치커리사과무침,곤드레밥*간장양념,청량된장찌개,굴비구이,쌀밥/잡곡밥,홍합탕,사천식탕수육
닭죽/쌀밥,선지해장국,브로컬리들깨찜,쌀밥/잡곡밥,콩가루배추국,제육볶음,날치알김치볶음밥,어묵우동,새우또띠아
시금치죽/쌀밥,매생이굴국,가지두반장볶음,쌀밥/잡곡밥,부대찌개,깐풍기,쌀밥/잡곡밥,연두부탕,순대오징어볶음
누룽지탕/쌀밥,민물새우찌개,김자반,쌀밥/잡곡밥,황태국,소불고기,쌀밥/잡곡밥,냉이된장국,등갈비김치찜
견과류죽/쌀밥,감자국,멸치볶음,쌀밥/잡곡밥,근대국,양파치킨,목살필라프,옥수수스프,토마토스파게티
누룽지탕/쌀밥,유부김치국,두부쑥갓무침,콩나물밥,맑은국,고추잡채*꽃빵,쌀밥/잡곡밥,쇠고기미역국,주꾸미굴소스볶음
녹두죽/쌀밥,닭개장,감자채볶음,쌀밥/잡곡밥,봄동된장국,오징어돈육볶음,쌀밥/잡곡밥,뼈감자탕,삼치된장구이
야채죽/쌀밥,콩나물국,미역줄기볶음,쌀밥/잡곡밥,차돌박이찌개,명태코다리강정,쌀밥/잡곡밥,시래기국,훈제오리구이
누룽지탕/쌀밥,감자고추장찌개,시금치나물,쌀밥/잡곡밥,아욱국,유자청제육볶음,쌀밥/잡곡밥,매운버섯국,굴비구이
홍게살죽/쌀밥,열무된장국,느타리호박볶음,쌀밥/잡곡밥,꽃게탕,미니채소떡갈비,김치주먹밥,쌀국수,국물떡볶이
누룽지탕/쌀밥,대구매운탕,아삭고추무침,나물비빔밥,가쯔오장국,치킨핑거,쌀밥/잡곡밥,콩나물국,삼겹살구이
브로컬리죽/쌀밥,호박젓국찌개,검정콩조림,쌀밥/잡곡밥,된장찌개,쇠고기장조림,오므라이스,팽이장국,돈육강정
팥죽/쌀밥,피바지락국,고구마순볶음,쌀밥/잡곡밥,육개장,탕수어,쌀밥/잡곡밥,순두부찌개,닭갈비
누룽지탕/쌀밥,쇠고기무국,두부양념조림,쌀밥/잡곡밥,북어국,쇠고기숙주볶음,쌀밥/잡곡밥,돈육김치찌개,갈치구이
양송이죽/쌀밥,조랭이미역국,꽈리고추찜,쌀밥/잡곡밥,시금치된장국,오징어볶음,김밥,유부장국,해물볶음우동
누룽지탕/쌀밥,홍합탕,시래기조림,짜장덮밥,맑은국,과일탕수육,쌀밥/잡곡밥,근대국,안동찜닭
땅콩죽/쌀밥,달래된장찌개,김잔파무침,쌀밥/잡곡밥,김치콩나물국,돈육굴소스볶음,야채볶음밥,짬뽕,수제고로케
해물죽/쌀밥,감자국,톳두부무침,쌀밥/잡곡밥,연두부탕,순살파닭,쌀밥/잡곡밥,쇠고기샤브국,미트볼케찹조림
누룽지탕/쌀밥,꽃게탕,김구이,쌀밥/잡곡밥,봄동된장국,가래떡돼지갈비찜,쌀밥/잡곡밥,청국장찌개,류산슬
크림누룽지탕/쌀밥,매생이떡국,카레감자볶음,쌀밥/잡곡밥,어묵국,닭볶음,유부초밥,새우튀김우동,시저샐러드
누룽지탕/쌀밥,콩가루배추국,명엽채무침,김치제육덮밥,미소장국,양장피잡채,*,,
흑임자죽/쌀밥,피바지락국,마늘쫑건새우무침,쌀밥/잡곡밥,닭곰탕,매콤미니함박,후난식볶음밥,잔치국수,돈가스또띠아
호박죽/쌀밥,맑은만두육개장,곰피초장,쌀밥/잡곡밥,차돌박이찌개,표고버섯탕수육,쌀밥/잡곡밥,알탕,주꾸미굴소스볶음
누룽지탕/쌀밥,황태국,애호박나물,쌀밥/잡곡밥,순두부찌개,돈육볶음,쌀밥/잡곡밥,참치김치찌개,꽁치오븐구이
닭죽/쌀밥,선지해장국,김자반,쌀밥/잡곡밥,해물된장찌개,쇠고기장조림,낙지볶음덮밥,팽이장국,야채튀김
누룽지탕/쌀밥,연두부국,브로컬리들깨찜,콩나물밥,유부주머니국,언양식불고기,쌀밥/잡곡밥,시금치된장국,매운닭찜
양송이죽/쌀밥,쇠고기미역국,마늘쫑무침,쌀밥/잡곡밥,열무된장국,동파삼겹수육,쌀밥/잡곡밥,옛날왕돈까스,옥수수스프
김치죽/쌀밥,오징어국,꽈리고추찜,쌀밥/잡곡밥,부대찌개,해물청경채볶음,쌀밥/잡곡밥,감자고추장찌개,유린기
누룽지탕/쌀밥,봄동된장국,숙주나물,쌀밥/잡곡밥,차돌박이찌개,닭갈비,쌀밥/잡곡밥,육개장,가자미카레튀김
새우살죽/쌀밥,북어계란국,도라지나물,쌀밥/잡곡밥,아욱된장국,사천식탕수육,베이컨김치볶음밥,단호박스프,로제파스타
땅콩죽/쌀밥,콩나물국,어묵볶음,쌀밥/잡곡밥,떡국,버섯불고기,쌀밥/잡곡밥,쇠고기무국,고추잡채*꽃빵
누룽지탕/쌀밥,시래기된장국,진미채무침,쌀밥/잡곡밥,들깨미역국,훈제오리구이,쌀밥/잡곡밥,콩비지찌개,명태조림
잣죽/쌀밥,민물새우찌개,단배추나물,쌀밥/잡곡밥,배추된장국,짬뽕불고기,해물굴소스볶음밥,가쯔오장국,닭오븐구이
누룽지탕/쌀밥,꽃게탕,감자채볶음,카레덮밥,맑은국,고구마치즈구이,쌀밥/잡곡밥,우거지해장국,고등어자반찜
녹두죽/쌀밥,느타리버섯국,우엉조림,쌀밥/잡곡밥,콩나물국,마늘치킨,볶음밥(김밥재료),김치우동,오징어튀김
야채죽/쌀밥,호박젓국찌개,가지나물,쌀밥/잡곡밥,시금치된장국,등갈비김치찜,쌀밥/잡곡밥,대구매운탕,돈육장조림
누룽지탕/쌀밥,쑥국,애호박나물,쌀밥/잡곡밥,황태국,소고기숙주볶음,쌀밥/잡곡밥,쇠고기미역국,닭매운찜
땅콩죽/쌀밥,올챙이만두국,브로컬리들깨찜,쌀밥/잡곡밥,아욱된장국,돼지갈비찜,짜장잡채덮밥,계란국,연근/고구마튀김
누룽지탕/쌀밥,바지락국,시금치나물,곤드레밥*강된장,어묵국,치킨핑거*요거트소스,*,,
팥죽/쌀밥,감자국,명엽채무침,쌀밥/오곡밥,차돌박이된장찌개,조기구이,쌀밥/잡곡밥,콩나물김치국,돈육굴소스볶음
누룽지탕/쌀밥,시래기국,오이무침,쌀밥/잡곡밥,해물순두부찌개,소고기장조림,쌀밥/잡곡밥,콩나물국,돈육고추장볶음
닭죽/쌀밥,선지해장국,쑥갓두부무침,쌀밥/잡곡밥,근대된장국,닭강정,김밥,잔치국수,해물떡볶이
누룽지탕/쌀밥,고추장찌개,크렌베리멸치볶음,콩나물밥,가쯔오국,삼치구이,쌀밥/잡곡밥,된장찌개,삼겹살구이
단호박죽/쌀밥,무채국,콩나물무침,쌀밥/잡곡밥,홍합탕,오리불고기,산채비빔밥,유부장국,수제고로케
해물죽/쌀밥,오징어국,김자반,쌀밥/잡곡밥,쇠고기샤브국,주꾸미볶음,쌀밥/잡곡밥,설렁탕,김치전
누룽지탕/쌀밥,호박젓국찌개,브로컬리초장,쌀밥/잡곡밥,배추된장국,버섯불고기,쌀밥/잡곡밥,닭개장,갈치구이
야채죽/쌀밥,황태국,느타리호박볶음,쌀밥/잡곡밥,쇠고기무국,미트볼케찹조림,김치볶음밥,어묵우동,쇠고기퀘사디아
누룽지탕/쌀밥,조랭이미역국,아삭고추무침,쌀밥/잡곡밥,시금치된장국,탕수어,쌀밥/잡곡밥,콩비지찌개,유자청돈육볶음
잣죽/쌀밥,근대국,김잔파무침,쌀밥/잡곡밥,동태탕,닭데리야끼조림,작은밥,바지락수제비,사천식탕수육
단호박죽/쌀밥,김치콩나물국,취나물,쌀밥/잡곡밥,얼갈이국,오징어볶음,쌀밥/잡곡밥,콩나물국,닭갈비
누룽지탕/쌀밥,감자국,두부조림,쌀밥/잡곡밥,어묵국,돈육간장볶음,쌀밥/잡곡밥,부대찌개,고등어구이
흑임자죽/쌀밥,꽃게탕,미역줄기볶음,쌀밥/잡곡밥,된장찌개,해물누룽지탕,오므라이스,가쯔오장국,모둠튀김*칠리소스
누룽지탕/쌀밥,대구찌개,도라지나물,쌀밥/잡곡밥,쇠고기미역국,닭볶음탕,쌀밥/잡곡밥,연두부탕,돈육장조림
양송이죽/쌀밥,아욱국,진미채무침,쌀밥/잡곡밥,우거지해장국,코다리강정,빠에야,쌀국수,웨지감자
녹두죽/쌀밥,고추장찌개,검정콩조림,쌀밥/잡곡밥,열무된장국,수제돈까스,쌀밥/잡곡밥,버섯매운국,새우까스*탈탈소스
누룽지탕/쌀밥,민물새우찌개,김구이,쌀밥/잡곡밥,차돌박이찌개,닭갈비,쌀밥/잡곡밥,황태국,소고기숙주볶음
닭죽/쌀밥,무채국,문어꽈리초조림,쌀밥/잡곡밥,콩나물국,등갈비김치찜,김밥,나가사끼짬뽕,후르츠탕수육(황도)
누룽지탕/쌀밥,조랭이떡국,시금치나물,단호박카레라이스,유부장국,유린기,*,,
김치죽/쌀밥,냉이된장국,멸치볶음,쌀밥/잡곡밥,얼큰소고기국,고추잡채*꽃빵,참치회덮밥,미소장국,봄나물튀김
견과류죽/쌀밥,오징어국,청포묵무침,쌀밥/잡곡밥,참치김치찌개,주꾸미볶음,쌀밥/잡곡밥,시래기국,돼지갈비찜
누룽지탕/쌀밥,미역국,연근조림,쌀밥/잡곡밥,들깨버섯국,소고기낙지볶음,쌀밥/잡곡밥,육개장,꽁치오븐구이
해물죽/쌀밥,콩가루배추국,감자채볶음,쌀밥/잡곡밥,동태매운탕,언양식불고기,멸치주먹밥,잔치국수,훈제오리냉채
누룽지탕/쌀밥,김치콩나물국,모둠묵*장,곤드레밥*강된장,가쯔오장국,닭오븐구이,쌀밥/잡곡밥,시금치된장국,동파삼겹수육
팥죽/쌀밥,선지해장국,가지나물,쌀밥/잡곡밥,쑥된장국,류산슬,볶음밥&짜장소스,꼬지어묵탕,케이준치킨샐러드
참치야채죽/쌀밥,황태국,김잔파무침,쌀밥/잡곡밥,수제비국,양념치킨,쌀밥/잡곡밥,쇠고기샤브국,동태포전
누룽지탕/쌀밥,시금치된장국,명엽채무침,쌀밥/잡곡밥,콩나물국,제육볶음,쌀밥/잡곡밥,소고기매운국,굴비구이
표고버섯죽/쌀밥,감자국,느타리볶음,쌀밥/잡곡밥,민물새우찌개,소고기장조림,베이컨김치볶음밥,새우튀김우동,찹쌀순대볶음
누룽지탕/쌀밥,들깨시래기국,브로컬리초장,쌀밥/잡곡밥,아욱국,오징어볶음,쌀밥/잡곡밥,꽃게탕,레몬탕수육
땅콩죽/쌀밥,두부젓국찌개,취나물,쌀밥/잡곡밥,순두부찌개,코다리양념조림,후난식볶음밥,도토리묵냉국,닭강정
쇠고기죽/쌀밥,김치두부국,김자반,쌀밥/잡곡밥,근대국,안동찜닭,쌀밥/잡곡밥,어묵국,버섯불고기
누룽지탕/쌀밥,북어계란국,숙주나물,쌀밥/잡곡밥,배추된장국,짬뽕불고기,쌀밥/잡곡밥,차돌박이찌개,유린기
고구마죽/쌀밥,옹심이만두떡국,어묵볶음,쌀밥/잡곡밥,무채국,훈제오리구이,충무김밥,김치말이국수,오징어무침
누룽지탕/쌀밥,대구찌개,비름나물,콩나물밥,열무된장국,치킨핑거,쌀밥/잡곡밥,콩비지찌개,쇠고기야채볶음
녹두죽/쌀밥,고추장찌개,마늘쫑새우볶음,쌀밥/잡곡밥,알탕,돈육간장볶음,참치주먹밥,로제스파게티,미소장국
호박죽/쌀밥,오징어국,콩나물무침,쌀밥/잡곡밥,돈육김치찌개,가자미카레튀김,쌀밥/잡곡밥,소고기무국,닭갈비
누룽지탕/쌀밥,감자국,김구이,쌀밥/잡곡밥,콩나물국,류산슬,쌀밥/잡곡밥,청국장찌개,돼지갈비찜
야채죽/쌀밥,들깨버섯국,도토리묵무침,쌀밥/잡곡밥,쇠고기미역국,깐풍기,하와이안필라프,쌀국수,미니햄버거
누룽지탕/쌀밥,아욱된장국,감자채피망볶음,비빔밥,유부장국,오징어튀김,,,
팥죽/쌀밥,꽃게탕,콩자반,쌀밥/잡곡밥,시래기국,닭매운찜,유부초밥,우동,표고버섯탕수육
잣죽/쌀밥,냉이된장국,진미채무침,쌀밥/잡곡밥,순두부찌개,삼겹살구이,쌀밥/잡곡밥,쇠고기샤브국,주꾸미떡볶음
누룽지탕/쌀밥,북어해장국,애호박나물,쌀밥/잡곡밥,어묵국,닭데리야끼조림,쌀밥/잡곡밥,육개장,해물누룽지탕
누룽지탕/쌀밥,떡국,숙주나물,김치제육덮밥,유부장국,양장피잡채,쌀밥/잡곡밥,올갱이아욱국,소고기버섯볶음
참치죽/쌀밥,호밧젓국찌개,멸치볶음,쌀밥/잡곡밥,도토리묵냉국,수제돈까스*칠리소스,김밥,잔치국수,해물떡볶이
새우살죽/쌀밥,콩나물김치국,브로컬리*초장,쌀밥/잡곡밥,무청된장국,콩나물제육볶음,쌀밥/잡곡밥,감자국,쇠고기장조림
누룽지탕/쌀밥,들깨미역국,아삭고추무침,쌀밥/잡곡밥,배추된장국,버섯불고기,쌀밥/잡곡밥,삼계국밥,삼치양념찜
표고버섯죽/쌀밥,열무된장국,김가루실파무침,쌀밥/잡곡밥,돈육김치찌개,탕수어,쌀밥/잡곡밥,대구매운탕,언양식불고기
흑임자죽/쌀밥,매운버섯국,마늘쫑볶음,쌀밥/잡곡밥,근대국,돈육굴소스볶음,볶음밥*짜장소스,맑은국,사천식탕수육
쇠고기죽/쌀밥,북어계란국,오이사과무침,쌀밥/잡곡밥,소고기무국,오징어볶음,쌀밥/잡곡밥,꽃게탕,유린기
누룽지탕/쌀밥,어묵국,땅콩조림,쌀밥/잡곡밥,시금치된장국,훈제오리구이,쌀밥/잡곡밥,닭개장,고추잡채*꽃빵
호박죽/쌀밥,쇠고기무국,가지나물,쌀밥/잡곡밥,얼갈이된장국,등갈비김치찜,오므라이스,가쯔오장국,생선까스*탈탈소스
누룽지탕/쌀밥,오징어국,쑥갓두부무침,카레덮밥,맑은국,고구마치즈구이,쌀밥/잡곡밥,고추장찌개,갈치구이
양송이죽/쌀밥,선지해장국,브로컬리들깨찜,쌀밥/잡곡밥,콩나물국,닭볶음탕,멸치주먹밥,김치국수,깐풍육
녹두죽/쌀밥,동태탕,명엽채무침,쌀밥/잡곡밥,차돌박이된장찌개,주꾸미볶음,쌀밥/잡곡밥,연두부탕,미니채소떡갈비
누룽지탕/쌀밥,북어계란국,도라지나물,쌀밥/잡곡밥,시래기들깨탕,짬뽕불고기,쌀밥/잡곡밥,콩나물김치국,모듬장조림(소고기)
누룽지탕/쌀밥,감자국,마늘쫑무침,곤드레밥*강된장,얼갈이된장국,마늘치킨,쌀밥/잡곡밥,해물된장찌개,돈육칠리강정
닭죽/쌀밥,김치순두부찌개,도토리묵*장,쌀밥/잡곡밥,조랭이떡국,돼지갈비찜,토마토스파게티,완두콩스프,함박스테이크
흑임자죽/쌀밥,소고기미역국,꽈리고추찜,쌀밥/잡곡밥,사과오이냉국,꽁치오븐구이,쌀밥/잡곡밥,쇠고기무국,닭겨자냉채
누룽지탕/쌀밥,열무된장국,진미채볶음,쌀밥/잡곡밥,미역국,제육볶음,쌀밥/잡곡밥,고추장찌개,쇠고기숙주볶음
잣죽/쌀밥,황태국,우엉조림,쌀밥/잡곡밥,김치찌개,해물청경채볶음,볶음밥,짬뽕,깐풍기
누룽지탕/쌀밥,맑은만두육개장,참나물땅콩무침,콩나물밥,유부장국,수제돈가스,,,
해물죽/쌀밥,콩나물김치국,감자채볶음,쌀밥/잡곡밥,오징어국,동파삼겹수육,충무김밥,우동,오징어초무침
버섯죽/쌀밥,민물새우찌개,숙주나물,쌀밥/잡곡밥,우거지해장국,치킨핑거,쌀밥/잡곡밥,콩비지찌개,레몬탕수육
누룽지탕/쌀밥,시금치된장국,구운어묵볶음,쌀밥/잡곡밥,콩나물국,돈육간장볶음,쌀밥/잡곡밥,쇠고기샤브국,가자미양념찜
견과류죽/쌀밥,꽃게탕,김구이,쌀밥/잡곡밥,된장찌개,닭갈비,참치주먹밥,잔치국수,새우까스*칠리소스
야채죽/쌀밥,호박젓국찌개,아삭고추무침,쌀밥/잡곡밥,순두부찌개,고추잡채*꽃빵,쌀밥/잡곡밥,조랭이떡미역국,돈육장조림
김치죽/쌀밥,아욱국,청포묵무침,쌀밥/잡곡밥,대구매운탕,완자전,쌀밥/잡곡밥,얼갈이된장국,닭오븐구이
누룽지탕/쌀밥,감자국,문어꽈리초조림,쌀밥/잡곡밥,배추된장국,버섯불고기,쌀밥/잡곡밥,무채국,닭볶음탕
새우살죽/쌀밥,동태탕,느타리볶음,쌀밥/잡곡밥,육개장,고등어김치말이,쌀밥/잡곡밥,고추장찌개,언양식불고기
녹두죽/쌀밥,매운버섯국,김자반,쌀밥/잡곡밥,근대국,순살파닭,산채비빔밥,유부장국,모둠튀김*초간장
팥죽/쌀밥,북어해장국,깻순나물,쌀밥/잡곡밥,부대찌개,오징어볶음,쌀밥/잡곡밥,어묵국,돈육굴소스볶음
누룽지탕/쌀밥,김치국,멸치볶음,쌀밥/잡곡밥,미역국,훈제오리구이,쌀밥/잡곡밥,콩나물국,후르츠탕수육
잣죽/쌀밥,순두부찌개,연근조림,쌀밥/잡곡밥,꽃게탕,삼치데리야끼,마파두부덮밥,맑은국,소고기퀘사디아
누룽지탕/쌀밥,누룽지탕/쌀밥/새우죽,애호박나물,열무비빔밥,팽이장국,미니채소떡갈비,쌀밥/잡곡밥,된장찌개,유린기
양송이죽/쌀밥,호박젓국찌개,김구이,쌀밥/잡곡밥,오이냉국,짬뽕불고기,김밥,잔치국수,떡볶이
호박죽/쌀밥,열무된장국,숙주나물무침,쌀밥/잡곡밥,닭개장,코다리강정,*,,
누룽지탕/쌀밥,무채국,김잔파무침,쌀밥/잡곡밥,어묵국,닭갈비,쌀밥/잡곡밥,시래기국,삼겹살구이
견과류죽/쌀밥,차돌박이찌개,취나물무침,쌀밥/잡곡밥,돈육김치찌개,류산슬,유부초밥,콩국수,순대야채볶음
누룽지탕/쌀밥,감자고추장찌개,꽈리고추찜,카레덮밥,가쯔오장국,깐풍육,*,,
닭죽/쌀밥,오징어국,노각무침,쌀밥/잡곡밥,들깨버섯국,매운돼지갈비찜,쌀밥/잡곡밥,옛날돈가스,단호박스프
크림누룽지탕/쌀밥,조랭이떡국,콩나물무침,쌀밥/잡곡밥,육개장,동태무조림,쌀밥/잡곡밥,북어계란국,소고기불고기
누룽지탕/쌀밥,연두부탕,명엽채무침,쌀밥/잡곡밥,콩나물국,유자청제육볶음,쌀밥/잡곡밥,옹심이만두국,간장치킨
밤죽/쌀밥,민물새우찌개,검정콩조림,쌀밥/잡곡밥,아욱국,소고기장조림,후난식볶음밥,가쯔오장국,돈육강정
누룽지탕/쌀밥,대구찌개,시금치나물,곤드레밥*양념장,맑은국,탕수어,쌀밥/잡곡밥,들깨미역국,주꾸미볶음
쇠고기죽/쌀밥,감자국,건새우마늘쫑볶음,쌀밥/잡곡밥,근대국,닭볶음탕,멸치주먹밥,열무김치국수,부추만두
해물죽/쌀밥,우거지해장국,브로컬리들깨찜,쌀밥/잡곡밥,도토리묵냉국,동파삼겹수육,쌀밥/잡곡밥,배추된장국,가자미카레튀김
누룽지탕/쌀밥,김치두부국,김구이,쌀밥/잡곡밥,고추장찌개,돈육굴소스볶음,쌀밥/잡곡밥,닭개장,갈치구이
홍게살죽/쌀밥,시래기국,쑥갓두부무침,쌀밥/잡곡밥,쇠고기매운국,훈제오리구이,볶음밥/짜장소스,맑은국,사천식탕수육
누룽지탕/쌀밥,동태탕,진미채무침,나물비빔밥,미소장국,오징어튀김,쌀밥/잡곡밥,무채국,콩나물불고기
녹두죽/쌀밥,두부젓국찌개,열무나물,쌀밥/잡곡밥,호박잎된장찌개,깐풍기,빠에야,냉모밀국수,감자치즈구이
팥죽/쌀밥,오징어국,아삭고추무침,쌀밥/잡곡밥,어묵국,등갈비김치찜,쌀밥/잡곡밥,시금치국,해물누룽지탕
누룽지탕/쌀밥,감자국,동전쥐포무침,쌀밥/잡곡밥,된장찌개,소불고기,쌀밥/잡곡밥,돈육김치찌개,꽁치오븐구이
흑임자죽/쌀밥,콩나물국,두반장가지볶음,삼계탕,찹쌀밥,생야채,해물굴소스볶음밥,가쯔오국,로제파스타
누룽지탕/쌀밥,조랭이떡국,무생채,콩나물밥,유부장국,해물까스*칠리소스,쌀밥/잡곡밥,소고기미역국,오징어볶음
야채죽/쌀밥,북어해장국,김자반,쌀밥/잡곡밥,해물순두부찌개,안동찜닭,김밥,김치말이국수,떡볶이
해물죽/쌀밥,대구찌개,오이무침,쌀밥/잡곡밥,우무콩국,유자청제육볶음,쌀밥/잡곡밥,꽃게탕,돈육간장강정
누룽지탕/쌀밥,김치국,김구이,쌀밥/잡곡밥,어묵국,돈육굴소스볶음,쌀밥/잡곡밥,매운소고기국,유산슬
새우살죽/쌀밥,들깨버섯국,진미채무침,쌀밥/잡곡밥,우거지해장국,삼치양념구이,김치볶음밥,유부장국,탄두리치킨
누룽지탕/쌀밥,새알만두국,애호박나물,쌀밥/잡곡밥,쇠고기샤브국,유린기,,,
참치죽/쌀밥,된장찌개,문어꽈리초조림,쌀밥/잡곡밥,오이지냉국,매운돼지갈비찜,멸치주먹밥,우동,표고버섯탕수육
소고기죽/쌀밥,건새우아욱국,연근조림,쌀밥/잡곡밥,닭곰탕,주꾸미떡볶음,쌀밥/잡곡밥,차돌박이찌개,쇠고기장조림
누룽지탕/쌀밥,무채국,김잔파무침,쌀밥/잡곡밥,근대국,닭갈비,쌀밥/잡곡밥,호박젓국찌개,장어강정
