조식_밥,조식_국,조식_반찬,점심_밥,점심_국,점심_반찬,저녁_밥,저녁_국,저녁_반찬
야채죽/쌀밥,고추장찌개,도라지나물,쌀밥/잡곡밥,알탕,미니함박조림,쌀밥/잡곡밥,쇠고기샤브국,깐풍기
누룽지탕/쌀밥,시금치국,김구이,쌀밥/잡곡밥,황태국,소고기숙주볶음,쌀밥/잡곡밥,감자국,새송이너비아니구이
고구마죽/쌀밥,달래된장찌개,진미채무침,쌀밥/잡곡밥,연두부탕,오징어볶음,목살필라프,꼬지어묵국,탕수육
누룽지탕/쌀밥,만두국,땅콩조림,곤드레밥*강된장,들깨시래기국,순대볶음,쌀밥/잡곡밥,부대찌개,돈육장조림
흑임자죽/쌀밥,호박젓국찌개,마늘쫑볶음,쌀밥/잡곡밥,돈육김치찌개,안동찜닭,쌀밥/잡곡밥,뼈감자탕,해물까스*와사비소스
야채죽/쌀밥,소고기무국,김치도토리묵무침,쌀밥/잡곡밥,조랭이떡미역국,짬뽕불고기,쌀밥/잡곡밥,청국장찌개,류산슬
누룽지탕/쌀밥,북어국,멸치볶음,쌀밥/잡곡밥,된장찌개,유자청돈육볶음,쌀밥/잡곡밥,김치두부국,닭갈비
팥죽/쌀밥,미역국,쑥갓두부무침,쌀밥/잡곡밥,순두부찌개,주꾸미볶음,참치회덮밥,미소장국,또띠아피자
누룽지탕/쌀밥,피바지락국,미역줄기볶음,나물비빔밥,가쯔오장국,오징어튀김,쌀밥/잡곡밥,육개장,꽁치구이*와사비장
김치죽/쌀밥,근대국,김자반,쌀밥/잡곡밥,콩나물국,수제돈까스,베이컨김치볶음밥,새우튀김우동,찐만두
홍게살죽/쌀밥,대구매운탕,꽈리고추찜,쌀밥/잡곡밥,아욱국,닭오븐구이,쌀밥/잡곡밥,배추된장국,돈육강정
누룽지탕/쌀밥,오징어국,땅콩아몬드조림,쌀밥/잡곡밥,매운어묵국,버섯불고기,쌀밥/잡곡밥,차돌박이찌개,가자미카레튀김
견과류죽/쌀밥,김치콩나물국,두부양념조림,쌀밥/잡곡밥,열무된장국,닭볶음탕,토마토스파게티(작은밥),크림스프,미니햄버거
누룽지탕/쌀밥,꽃게탕,김잔파무침,쌀밥/잡곡밥,떡국,오징어볶음,쌀밥/잡곡밥,콩비지찌개,간장마늘치킨
녹두죽/쌀밥,재첩국,호박나물,쌀밥/잡곡밥,매운버섯국,미트볼케찹조림,김밥볶음밥,짬뽕,크림새우
해물죽/쌀밥,무채국,시금치나물,짜장덮밥,맑은국,사천식탕수육,쌀밥/잡곡밥,고추장찌개,돈육굴소스볶음
누룽지탕/쌀밥,북어해장국,두반장가지볶음,쌀밥/잡곡밥,들깨시래기국,유자청돈육볶음,쌀밥/잡곡밥,콩가루배추국,닭데리야끼조림
새우살죽/쌀밥,맑은순두부국,검정콩조림,쌀밥/잡곡밥,된장찌개,쇠고기장조림,쌀밥/잡곡밥,수제비국,고등어구이
누룽지탕/쌀밥,콩나물국,미역줄기볶음,카레라이스,미소장국,언양식불고기,*,자기계발의날,*
흑임자죽/쌀밥,감자국,아삭고추된장무침,쌀밥/잡곡밥,두부김치국,해물누룽지탕,파인애플볶음밥,유부주머니국,새우까스*와사비소스
야채죽/쌀밥,닭곰탕,도토리묵*장,쌀밥/잡곡밥,미역국,돈육간장강정,쌀밥/잡곡밥,시금치국,유린기
누룽지탕/쌀밥,건새우아욱국,김구이,쌀밥/잡곡밥,김치콩나물국,버섯불고기,쌀밥/잡곡밥,매운소고기무국,삼치구이
참치죽/쌀밥,꽃게탕,시래기조림,쌀밥/잡곡밥,소고기샤브국,오징어볶음,김밥,잔치국수,야채튀김
잣죽/쌀밥,호박젓국찌개,멸치볶음,쌀밥/잡곡밥,해물된장찌개,안동찜닭,삼겹살볶음밥,미소장국,볶음우동
팥죽/쌀밥,조랭이떡국,두부쑥갓무침,쌀밥/잡곡밥,순두부찌개,미니채소떡갈비,쌀밥/잡곡밥,황태국,돈육피망볶음
누룽지탕/쌀밥,미역국,명엽채무침,쌀밥/잡곡밥,어묵국,훈제오리구이,쌀밥/잡곡밥,콩나물국,닭갈비
양송이죽/쌀밥,소고기무국,브로컬리들깨찜,콩나물밥,가쯔오장국,치킨핑거/요거트D,쌀밥/잡곡밥,육개장,굴비구이
누룽지탕/쌀밥,김치두부국,문어꽈리초조림,쌀밥/잡곡밥,근대국,보쌈,잡채밥/짜장소스,맑은국,소고기퀘사디아
단호박죽/쌀밥,고추장찌개,가지나물,쌀밥/잡곡밥,참치김치찌개,소고기장조림,쌀밥/잡곡밥,열무된장국,레몬탕수육
누룽지탕/쌀밥,황태국,시금치나물,쌀밥/잡곡밥,아욱국,제육볶음,쌀밥/잡곡밥,부대찌개,고등어자반찜
야채죽/쌀밥,감자국,느타리볶음,쌀밥/잡곡밥,차돌된장찌개,해물청경채볶음,멸치주먹밥,김치우동,고구마치즈구이
누룽지탕/쌀밥,오징어국,김구이,산채비빔밥,가쯔오장국,치킨너겟*머스타드,쌀밥/잡곡밥,시래기국,버섯불고기
녹두죽/쌀밥,배추된장국,멸치볶음,쌀밥/잡곡밥,연두부탕,돼지갈비찜,닭갈비볶음밥,쌀국수,해물까스*와사비소스
쇠고기죽/쌀밥,콩나물국,쥐포무침,쌀밥/잡곡밥,버섯매운탕,탕수어,쌀밥/잡곡밥,닭개장,미니함박조림
누룽지탕/쌀밥,무채국,김자반,쌀밥/잡곡밥,된장찌개,소고기숙주나물볶음,쌀밥/잡곡밥,떡국,고추잡채*꽃빵
흑임자죽/쌀밥,동태탕,애호박나물,쌀밥/잡곡밥,해물순두부찌개,수원왕갈비통닭,충무김밥,미니국수,오징어초무침
누룽지탕/쌀밥,근대국,머위대나물,쌀밥/잡곡밥,꽃게탕,새송이떡갈비구이,쌀밥/잡곡밥,버섯들깨탕,과일탕수육
잣죽/쌀밥,미역국,오징어젓갈무침,쌀밥/잡곡밥,소고기국,가자미튀김,해물굴소스볶음밥,스프,토마토스파게티
고구마죽/쌀밥,어묵탕,감자조림,낙지비빔밥,콩나물국,부추전,쌀밥/잡곡밥,고추장찌개,두부커틀릿
누룽지탕/쌀밥,들깨시래기국,김가루잔파무침,쌀밥/잡곡밥,북어국,돈육콩나물불고기,쌀밥/잡곡밥,두부김치국,소고기장조림
땅콩죽/쌀밥,호박젓국찌개,두부쑥갓무침,쌀밥/잡곡밥,오징어국,안동찜닭,유부초밥,가쯔오장국,야채쫄면
호박죽/쌀밥,차돌박이찌개,청포묵무침,쌀밥/잡곡밥,배추된장국,수제돈가스,*,자기개발의날,*
누룽지탕/쌀밥,맑은만두국,깻순나물,쌀밥/잡곡밥,육개장,고등어구이,쇠고기숙주규동덮밥,미소장국,파스타샐러드
해물죽/쌀밥,감자국,꽈리고추찜,봄나물비빔밥,맑은국,함박스테이크,쌀밥/잡곡밥,무청된장국,닭갈비
누룽지탕/쌀밥,황태국,진미채무침,쌀밥/잡곡밥,콩나물국,짬뽕불고기,쌀밥/잡곡밥,순두부찌개,삼치튀김*데리소스
새우살죽/쌀밥,미역국,아삭고추무침,쌀밥/잡곡밥,아욱국,등갈비김치찜,참치주먹밥,우동,닭오븐구이
누룽지탕/쌀밥,대구매운탕,어묵볶음,곤드레밥*양념장,맑은국,코다리조림,쌀밥/잡곡밥,된장찌개,동파삼겹수육
야채죽/쌀밥,무채국,멸치볶음,쌀밥/잡곡밥,고추장찌개,언양식불고기,쌀밥/잡곡밥,두부김치국,닭강정
누룽지탕/쌀밥,연두부탕,명엽채무침,쌀밥/잡곡밥,매운어묵국,소불고기,쌀밥/잡곡밥,얼갈이된장국,삼겹살구이
고구마죽/쌀밥,시금치국,가지나물,쌀밥/잡곡밥,부대찌개,오징어볶음,김밥볶음밥,초계국수,떡볶이
누룽지탕/쌀밥,오징어국,김자반,김치제육덮밥,맑은국,사과고구마그라탕,쌀밥/잡곡밥,매운버섯국,갈치구이
잣죽/쌀밥,근대국,문어꽈리초조림,쌀밥/잡곡밥,옹심이만두국,닭볶음탕,오므라이스,가쯔오장국,훈제오리냉채
팥죽/쌀밥,우거지해장국,열무나물,쌀밥/잡곡밥,오이냉국,사천식탕수육,쌀밥/잡곡밥,동태탕,미트볼케찹조림
누룽지탕/쌀밥,들깨미역국,진미채볶음,쌀밥/잡곡밥,열무된장국,돼지고기유자청볶음,쌀밥/잡곡밥,콩나물김치국,류산슬
닭죽/쌀밥,꽃게탕,시금치나물,쌀밥/잡곡밥,북어해장국,매운돼지갈비찜,베이컨볶음밥,유부장국,토마토스파게티
누룽지탕/쌀밥,해물순두부찌개,멸치볶음,짜장덮밥,맑은국,깐풍기,쌀밥/잡곡밥,된장찌개,닭갈비
호박죽/쌀밥,민물새우찌개,감자채볶음,쌀밥/잡곡밥,감자국,주꾸미볶음,쌀밥/잡곡밥,뼈감자탕,유린기
야채죽/쌀밥,차돌박이찌개,비름나물,쌀밥/잡곡밥,청국장찌개,소고기장조림,쌀밥/잡곡밥,쇠고기샤브국,미니야채떡갈비
누룽지탕/쌀밥,시래기국,김구이,쌀밥/잡곡밥,어묵국,소불고기,쌀밥/잡곡밥,소고기매운무국,오징어굴소스볶음
흑임자죽/쌀밥,콩나물국,무나물,쌀밥/잡곡밥,참치김치찌개,돈육장조림,중국식볶음밥,짬뽕,고추잡채*꽃빵
누룽지탕/쌀밥,콩가루배추국,알감자조림,카레덮밥,가쯔오장국,고구마치즈구이,*,자기개발의날,*
녹두죽/쌀밥,오징어국,참나물생채,쌀밥/잡곡밥,소고기미역국,양념치킨,빠에야,올챙이만두국,소고기퀘사디아
소고기죽/쌀밥,감자고추장찌개,우엉조림,콩나물밥*양념장,팽이장국,치킨핑거*요거트드레싱,쌀밥/잡곡밥,아욱국,돈육강정
누룽지탕/쌀밥,두부젓국찌개,느타리볶음,쌀밥/잡곡밥,순두부찌개,치즈함박스테이크,쌀밥/잡곡밥,차돌된장찌개,고등어구이
호박죽/쌀밥,무채국,건새우마늘쫑볶음,쌀밥/잡곡밥,사과오이냉국,쇠고기낙지볶음,꼬마김밥*겨자장,우동,생선까스*탈탈소스
누룽지탕/쌀밥,꽃게탕,진미채무침,마파두부덮밥,맑은국,치킨너겟,쌀밥/잡곡밥,근대국,돈육간장볶음
잣죽/쌀밥,콩나물국,미역줄기볶음,쌀밥/잡곡밥,열무된장국,짬뽕불고기,베이컨김치볶음밥,냉모밀국수,해물부추전
해물죽/쌀밥,황태국,호박채나물,쌀밥/잡곡밥,김치두부국,훈제오리구이,쌀밥/잡곡밥,배추된장국,레몬탕수육
누룽지탕/쌀밥,쇠고기무국,김잔파무침,쌀밥/잡곡밥,오징어국,버섯불고기,쌀밥/잡곡밥,콩나물국,해물누룽지탕
표고버섯죽/쌀밥,고추장찌개,시금치나물,쌀밥/잡곡밥,시래기국,닭볶음탕,멸치주먹밥,잔치국수,케이준샐러드
누룽지탕/쌀밥,동태탕,브로컬리초장,열무보리비빔밥,가쯔오장국,깐풍육,쌀밥/잡곡밥,육개장,가자미튀김
새우살죽/쌀밥,감자국,멸치아몬드볶음,쌀밥/잡곡밥,근대국,삼겹보쌈,쌀밥/잡곡밥,들깨미역국,언양식불고기
견과류죽/쌀밥,매운버섯국,깻순나물,<초복특식>,삼계탕,찹쌀밥,쌀밥/잡곡밥,된장찌개,소고기장조림
누룽지탕/쌀밥,무채국,김자반,쌀밥/잡곡밥,차돌박이찌개,돈육굴소스볶음,쌀밥/잡곡밥,시래기들개탕,오징어볶음*소면
야채죽/쌀밥,조랭이떡국,가지나물,쌀밥/잡곡밥,북어계란국,닭갈비,유부초밥,콩국수,떡볶이
누룽지탕/쌀밥,연두부탕,명엽채무침,산채비빔밥,미소장국,야채튀김,쌀밥/잡곡밥,두부김치국,돼지고기장조림
녹두죽/쌀밥,열무된장국,영양부추생채,쌀밥/잡곡밥,돈육김치찌개,미니채소떡갈비,쌀밥/잡곡밥,브로컬리크림스프,옛날왕돈가스
흑임자죽/쌀밥,콩나물국,연근조림,쌀밥/잡곡밥,소고기무국,갈치구이,쌀밥/잡곡밥,꽃게탕,안동찜닭
누룽지탕/쌀밥,호박젓국찌개,김잔파무침,쌀밥/잡곡밥,매운어묵국,소고기숙주볶음,쌀밥/잡곡밥,얼갈이국,오리불고기
닭죽/쌀밥,감자국,동전문어조림,쌀밥/잡곡밥,시금치된장국,등갈비김치찜,김밥,맑은국,해물볶음우동
누룽지탕/쌀밥,시래기국,감자조림,카레라이스,가쯔오국,갈비통통만두,쌀밥/잡곡밥,된장찌개,대패삼겹*파채
해물죽/쌀밥,올챙이만두국,어묵볶음,쌀밥/잡곡밥,매운소고기국,유린기,파인애플볶음밥,유부주머니국,사천식탕수육
잣죽/쌀밥,쇠고기샤브국,애호박나물,쌀밥/잡곡밥,우묵냉국,고구마함박스테이크,쌀밥/잡곡밥,맑은연두부탕,돈육매콤조림
누룽지탕/쌀밥,북어해장국,진미채무침,쌀밥/잡곡밥,시금치국,유자청제육볶음,쌀밥/잡곡밥,무채국,버섯불고기
흑임자죽/쌀밥,두부김치국,깻순나물,쌀밥/잡곡밥,사과오이냉국,장어강정,김치볶음밥,유부장국,탄두리치킨
누룽지탕/쌀밥,열무된장국,멸치볶음,곤드레밥*양념장,맑은국,해물누룽지탕,자기계발의날,,
표고버섯죽/쌀밥,민물새우찌개,노각무침,쌀밥/잡곡밥,아욱국,닭볶음탕,참치주먹밥,열무물국수,돈육강정
홍게살죽/쌀밥,우거지해장국,땅콩조림,쌀밥/잡곡밥,고추장찌개,미트볼케찹조림,쌀밥/잡곡밥,매운버섯국,고등어구이
누룽지탕/쌀밥,조랭이떡국,아삭고추무침,쌀밥/잡곡밥,콩나물국,닭갈비,쌀밥/잡곡밥,육개장,꽁치오븐구이
녹두죽/쌀밥,감자국,김잔파무침,쌀밥/잡곡밥,도토리묵냉국,짬뽕불고기,해물굴소스볶음밥,미소장국,로제파스타
누룽지탕/쌀밥,새우살미역국,느타리볶음,짜장덮밥,맑은국,고추잡채*꽃빵,쌀밥/잡곡밥,콩가루배추국,돈육장조림
호박죽/쌀밥,연두부국,가지나물,쌀밥/잡곡밥,아욱국,돼지갈비찜,야채볶음밥,김치말이국수,닭오븐구이
김치죽/쌀밥,쇠고기무국,쥐포무침,쌀밥/잡곡밥,차돌된장찌개,주꾸미볶음,쌀밥/잡곡밥,얼갈이국,등뼈김치찜
누룽지탕/쌀밥,두부김치국,오이맛살냉채,쌀밥/잡곡밥,된장찌개,소고기숙주볶음,쌀밥/잡곡밥,북어해장국,양념치킨
팥죽/쌀밥,무채국,고구마줄기볶음,쌀밥/잡곡밥,꽃게탕,언양식불고기,제육김치덮밥,유부장국,까르보나라떡볶이
누룽지탕/쌀밥,동태탕,소시지감자볶음,콩나물밥,올챙이만두국,유린기,쌀밥/잡곡밥,사과오이냉국,오징어볶음*소면
해물죽/쌀밥,근대국,볼어묵볶음,쌀밥/잡곡밥,닭개장,쇠고기장조림,쌀밥/잡곡밥,해물짬뽕국,돈육굴소스볶음
누룽지탕/쌀밥,오징어국,김자반,쌀밥/잡곡밥,시래기국,유자청제육볶음,쌀밥/잡곡밥,콩나물김치국,안동찜닭
흑임자죽/쌀밥,호박새우젓국,연근조림,쌀밥/잡곡밥,소고기미역국,닭강정,유부초밥,냉모밀국수,해물까스*칠리소스
누룽지탕/쌀밥,만두국,두부쑥갓무침,산채비빔밥,미소장국,오징어튀김,쌀밥/잡곡밥,북어해장국,소고기낙지볶음
야채죽/쌀밥,연두부찌개,마늘쫑볶음,쌀밥/잡곡밥,닭곰탕,류산슬,목살필라프,꼬지어묵국,탕수육
잣죽/쌀밥,된장찌개,실곤약흑임자무침,쌀밥/잡곡밥,돈육김치찌개,미니채소떡갈비,쌀밥/잡곡밥,건새우아욱된장국,동파삼겹수육
누룽지탕/쌀밥,감자국,명엽채무침,쌀밥/잡곡밥,꽃게탕,함박스테이크,쌀밥/잡곡밥,매운버섯국,돈육간장볶음
김치죽/쌀밥,어묵국,꽈리고추찜,쌀밥/잡곡밥,고추장찌개,버섯불고기,베이컨김치볶음밥,새우튀김우동,찹쌀순대볶음
누룽지탕/쌀밥,열무된장국,메추리알조림,카레덮밥,맑은국,치킨핑거,*,,
새우살야채죽/쌀밥,황태해장국,오이사과무침,쌀밥/잡곡밥,배추된장국,훈제오리구이,오므라이스,가쯔오장국,소고기퀘사디아
녹두죽/쌀밥,대구매운탕,느타리볶음,쌀밥/잡곡밥,부대찌개,굴비구이,쌀밥/잡곡밥,들깨버섯국,마늘치킨
누룽지탕/쌀밥,조랭이떡미역국,동전쥐포무침,쌀밥/잡곡밥,들깨시락국,돈육김치볶음,쌀밥/잡곡밥,콩나물국,파닭
땅콩죽/쌀밥,두부김치국,김잔파무침,쌀밥/잡곡밥,차돌박이찌개,소고기장조림,빠에야,쌀국수,치킨샐러드
누룽지탕/쌀밥,시래기국,감자채볶음,단호박영양밥,유부장국,새송이너비아니구이,쌀밥/잡곡밥,참치김치찌개,돈육강정
야채죽/쌀밥,오징어국,가지나물,쌀밥/잡곡밥,토란국,매운돼지갈비찜,김밥,김치어묵국,야채튀김
해물죽/쌀밥,맑은만두육개장,영양부추생채,쌀밥/잡곡밥,된장찌개,수제돈까스,쌀밥/잡곡밥,고추장찌개,소고기숙주볶음
누룽지탕/쌀밥,떡국,비트무생채,쌀밥/잡곡밥,김치콩나물국,짬뽕불고기,쌀밥/잡곡밥,황태해장국,닭갈비
잣죽/쌀밥,열무된장국,연근조림,쌀밥/잡곡밥,맑은순두부국,사천식탕수육,김치필라프,크림스프,토마토스파게티
누룽지탕/쌀밥,감자국,얼갈이나물,나물비빔밥,팽이장국,생선까스*칠리소스,쌀밥/잡곡밥,해물된장찌개,고추잡채*꽃빵
누룽지탕/쌀밥,시래기국,두반장가지볶음,쌀밥/잡곡밥,황태국,훈제오리고추장볶음,쌀밥/잡곡밥,참치김치찌개,치즈함박스테이크
새우살죽/쌀밥,순두부국,검정콩조림,쌀밥/잡곡밥,꽃게된장찌개,돈육굴소스볶음,참치덮밥,미소장국,또띠아피자
누룽지탕/쌀밥,차돌박이찌개,우엉조림,쌀밥/잡곡밥,소고기미역국,탄두리치킨,쌀밥/잡곡밥,수제비국,쇠고기숙주볶음
흑임자죽/쌀밥,감자국,멸치볶음,쌀밥/잡곡밥,쇠고기샤브국,주꾸미볶음,쌀밥/잡곡밥,설렁탕,김치전
야채죽/쌀밥,닭개장,도토리묵*장,쌀밥/잡곡밥,열무된장국,대패삼겹*파채,쌀밥/잡곡밥,얼큰소고기무국,안동찜닭
누룽지탕/쌀밥,배추된장국,진미채무침,쌀밥/잡곡밥,근대국,유자청제육볶음,쌀밥/잡곡밥,육개장,고등어구이
고구마죽/쌀밥,대구탕,김구이,쌀밥/잡곡밥,얼갈이된장국,버섯불고기,쌀밥/잡곡밥,무채국,닭볶음탕
누룽지탕/쌀밥,오징어국,시래기조림,곤드레밥*양념장,맑은국,돈육강정,*,,
땅콩죽/쌀밥,들깨미역국,느타리호박볶음,쌀밥/잡곡밥,콩나물김치국,해물누룽지탕,볶음밥/짜장소스,계란국,깐풍기
참치죽/쌀밥,된장찌개,두부쑥갓무침,쌀밥/잡곡밥,어묵국,언양식불고기,쌀밥/잡곡밥,아욱국,돈육간장볶음
누룽지탕/쌀밥,콩나물국,꽈리고추찜,쌀밥/잡곡밥,콩가루배추국,짬뽕불고기,쌀밥/잡곡밥,버섯들깨탕,오징어볶음
누룽지탕/쌀밥,소고기무국,땅콩조림,쌀밥/잡곡밥,돈육김치찌개,닭갈비,쌀밥/잡곡밥,열무된장국,쇠고기장조림
홍게살죽/쌀밥,황태국,쥐포무침,쌀밥/잡곡밥,해물된장찌개,소불고기,쌀밥/잡곡밥,순두부찌개,함박스테이크
누룽지탕/쌀밥,감자국,명엽채무침,쌀밥/잡곡밥,콩비지찌개,돈육굴소스볶음,쌀밥/잡곡밥,닭개장,갈치구이
쇠고기죽/쌀밥,근대국,미역줄기볶음,쌀밥/잡곡밥,동태탕,마늘간장치킨,김치볶음밥,새우튀김우동,고구마치즈구이
크림누룽지탕/쌀밥,호박젓국찌개,김자반,쌀밥/잡곡밥,옹심이만두국,굴비구이,참치주먹밥,잔치국수,쇠고기퀘사디아
닭죽/쌀밥,바지락국,취나물,쌀밥/잡곡밥,아욱국,매운돼지갈비찜,쌀밥/잡곡밥,쇠고기샤브국,탕수어
누룽지탕/쌀밥,얼갈이국,무생채,쌀밥/잡곡밥,북어해장국,제육볶음,쌀밥/잡곡밥,참치김치찌개,주꾸미볶음
야채죽/쌀밥,조랭이떡미역국,멸치볶음,쌀밥/잡곡밥,콩나물국,닭갈비,야채볶음밥,유부주머니국,통새우또띠아
누룽지탕/쌀밥,오징어국,김구이,콩나물밥,가쯔오국,돈육강정,쌀밥/잡곡밥,된장찌개,꽁치구이
팥죽/쌀밥,시래기국,연근땅콩조림,쌀밥/잡곡밥,알탕,해물굴소스볶음,쌀밥,떡만두국,닭매운찜
땅콩죽/쌀밥,김치두부국,도라지나물,쌀밥/잡곡밥,우거지된장국,쇠고기장조림,쌀밥/잡곡밥,부대찌개,후르츠탕수육
누룽지탕/쌀밥,김치콩나물국,김자반,쌀밥/잡곡밥,고추장찌개,훈제오리단호박볶음,쌀밥/잡곡밥,어묵국,언양식불고기
잣죽/쌀밥,소고기무국,두부쑥갓무침,쌀밥/잡곡밥,얼큰순두부찌개,짬뽕불고기,김밥,잔치국수,떡볶이
누룽지탕/쌀밥,무채국,꽈리고추찜,카레라이스,우동국,유린기,쌀밥/잡곡밥,열무된장국,소고기버섯볶음
김치죽/쌀밥,꽃게된장국,동전쥐포무침,쌀밥/잡곡밥,건새우아욱국,등갈비김치말이,해물굴소스볶음밥,맑은국,돈육간장강정
흑임자죽/쌀밥,감자국,열무나물,나물비빔밥,팽이장국,생선까스*칠리소스,쌀밥/잡곡밥,차돌박이찌개,류산슬
누룽지탕/쌀밥,두부김치국,땅콩조림,쌀밥/잡곡밥,소고기미역국,유자청제육볶음,쌀밥/잡곡밥,짬뽕국,가자미카레튀김
홍게살죽/쌀밥,배추된장국,진미채무침,쌀밥/잡곡밥,된장찌개,오징어볶음,오므라이스,미니우동,닭오븐구이
누룽지탕/쌀밥,황태국,문어꽈리초조림,마파두부덮밥,맑은국,치킨핑거,*,,
견과류죽/쌀밥,아욱국,어묵볶음,쌀밥/잡곡밥,매운콩나물국,동파삼겹수육,참치회덮밥,미소장국,또띠아피자
녹두죽/쌀밥,재첩국,시래기조림,쌀밥/옛날돈까스,옥수수스프,딸기드레싱샐러드,쌀밥/잡곡밥,떡국,돈육장조림
누룽지탕/쌀밥,민물새우찌개,미역줄기볶음,쌀밥/잡곡밥,근대국,소고기낙지볶음,쌀밥/잡곡밥,열무된장국,함박스테이크
야채죽/쌀밥,연두부국,가지나물,쌀밥/잡곡밥,고추장찌개,순살파닭,멸치주먹밥,해물수제비,야채튀김
누룽지탕/쌀밥,대구탕,연근조림,김치제육덮밥,가쯔오장국,시금치프리타타,쌀밥/잡곡밥,닭개장,황태양념구이
소고기죽/쌀밥,피바지락국,도토리묵무침,쌀밥/잡곡밥,오징어국,미니채소떡갈비,목살필라프,계란국,로제파스타
참치죽/쌀밥,감자국,명엽채무침,야채볶음밥*짜장소스,미역장국,사천식탕수육,쌀밥/잡곡밥,들깨시래기국,대패삼겹*파채
누룽지탕/쌀밥,미역국,아삭고추무침,쌀밥/잡곡밥,돈육김치찌개,언양식불고기*양파채,쌀밥/잡곡밥,얼갈이국,훈제오리불고기
